AGS_final,risk,lisa_I,lisa_p,lisa_class
01058063,0,0.10245161189946368,0.5217313917422486,Not significant
01058064,0,0.10245161189946368,0.5217313917422486,Not significant
01058076,0,0.10245161189946368,0.5217313917422486,Not significant
01058098,0,0.10245161189946368,0.5217313917422486,Not significant
01058108,0,0.10245161189946368,0.5217313917422486,Not significant
01058109,0,0.10245161189946368,0.5217313917422486,Not significant
01058133,0,0.10245161189946368,0.5217313917422486,Not significant
01058143,0,0.10245161189946368,0.5217313917422486,Not significant
01058144,0,0.10245161189946368,0.5217313917422486,Not significant
01058153,0,0.10245161189946368,0.5217313917422486,Not significant
01058170,0,0.10245161189946368,0.5217313917422486,Not significant
01058024,0,0.10245161189946368,0.5217313917422486,Not significant
01058035,0,0.10245161189946368,0.5217313917422486,Not significant
01058066,0,0.10245161189946368,0.5217313917422486,Not significant
01058069,0,0.10245161189946368,0.5217313917422486,Not significant
01058080,0,0.10245161189946368,0.5217313917422486,Not significant
01058081,0,0.10245161189946368,0.5217313917422486,Not significant
01058088,0,0.10245161189946368,0.5217313917422486,Not significant
01058111,0,0.10245161189946368,0.5217313917422486,Not significant
01058123,0,0.10245161189946368,0.5217313917422486,Not significant
01058152,0,0.10245161189946368,0.5217313917422486,Not significant
01058102,0,0.10245161189946368,0.5217313917422486,Not significant
01058173,0,0.10245161189946368,0.5217313917422486,Not significant
01058007,0.02758517775899885,-6.696216362298835e-4,0.9513615760139863,Not significant
01058009,0,0.10245161189946368,0.5217313917422486,Not significant
01058013,0,0.10245161189946368,0.5217313917422486,Not significant
01058014,0,0.10245161189946368,0.5217313917422486,Not significant
01058015,1.794019432832724e-5,0.07619040238992762,0.6334685163260529,Not significant
01058025,0,0.10245161189946368,0.5217313917422486,Not significant
01058044,0.027361385385939765,-0.002181088149879553,0.8200601965943016,Not significant
01058061,0,0.10211064924759881,0.5231173859730445,Not significant
01058062,0,0.10245161189946368,0.5217313917422486,Not significant
01058072,3.436431026048708e-4,0.07192462623904029,0.6484500665843669,Not significant
01058074,0,0.10245161189946368,0.5217313917422486,Not significant
01058077,0,0.10245161189946368,0.5217313917422486,Not significant
01058085,0,0.10245161189946368,0.5217313917422486,Not significant
01058100,0.026414256317264146,-0.0022753585827457548,0.5405891965830905,Not significant
01058103,0,0.10245161189946368,0.5217313917422486,Not significant
01058106,0,0.10245161189946368,0.5217313917422486,Not significant
01058113,0,0.10152992831534227,0.5254823275040721,Not significant
01058115,0,0.10245161189946368,0.5217313917422486,Not significant
01058119,0.003374697238351904,0.06524089766440265,0.6388042555490496,Not significant
01058125,0,0.10243381164045429,0.5218037020466566,Not significant
01058128,0.011764651332103901,0.026088246495086728,0.7643549606327026,Not significant
01058131,0,0.10245161189946368,0.5217313917422486,Not significant
01058134,0,0.10245161189946368,0.5217313917422486,Not significant
01058151,0,0.10243381164045429,0.5218037020466566,Not significant
01058156,0,0.10211064924759883,0.5231173859730445,Not significant
01058158,8.565975270698347e-4,0.055417847928458684,0.7199310730851631,Not significant
01058159,0,0.10245161189946368,0.5217313917422486,Not significant
01058161,0,0.10245161189946368,0.5217313917422486,Not significant
01058164,0,0.08860655733830616,0.5794877305229187,Not significant
01058167,0,0.10245161189946368,0.5217313917422486,Not significant
01058018,0,0.10245161189946368,0.5217313917422486,Not significant
01058019,0,0.09341346298226914,0.5590984185417442,Not significant
01058053,0.009109201605284837,0.06591539221194019,0.5242051748621983,Not significant
01058105,0,0.10185879919547032,0.5241423547051468,Not significant
01058107,5.97473053865746e-4,0.09125140085154368,0.5591027070047472,Not significant
01058138,0,0.10245161189946368,0.5217313917422486,Not significant
01058139,0,0.09341346298226914,0.5590984185417442,Not significant
01058141,0,0.10245161189946368,0.5217313917422486,Not significant
01058145,0,0.10245161189946368,0.5217313917422486,Not significant
01058160,0,0.10245161189946368,0.5217313917422486,Not significant
01060004,0.024072022251721434,0.0032038638055547314,0.7666557514730641,Not significant
01060019,0,0.07532172368227262,0.6375768701368463,Not significant
01060039,0,0.10245161189946368,0.5217313917422486,Not significant
01060044,0,0.10245161189946368,0.5217313917422486,Not significant
01060063,9.542355838089752e-4,0.056782892351077946,0.7122636887625869,Not significant
01060092,0,0.10245161189946368,0.5217313917422486,Not significant
01060003,0,0.08001677855115077,0.6167664929643202,Not significant
01060009,0,0.07856735384079316,0.6231591780017904,Not significant
01060013,0,-0.19403418332721603,0.22526035836330946,Not significant
01060021,0.06481767180489291,-0.06888758660378554,0.7759285139574759,Not significant
01060023,0,0.056132520492480256,0.7254852571518557,Not significant
01060027,0,0.10245161189946368,0.5217313917422486,Not significant
01060031,0.022611203004407318,0.005657213442647251,0.7756226446503557,Not significant
01060033,0,0.07508160129958102,0.6386490959291995,Not significant
01060035,0,0.005712792641110486,0.9713119456987355,Not significant
01060037,0,0.10215432051906218,0.522939759202923,Not significant
01060040,0.05511335486015961,0.00928378208668684,0.9589931775793558,Not significant
01060056,0,0.037550585366730733,0.8142231346179823,Not significant
01060095,0,-0.016841232083692925,0.9163578168015679,Not significant
01060099,0,0.10245161189946368,0.5217313917422486,Not significant
01060012,0,0.10245161189946368,0.5217313917422486,Not significant
01060026,0,0.10245161189946368,0.5217313917422486,Not significant
01060089,0,0.10245161189946368,0.5217313917422486,Not significant
01060043,0,0.10245161189946368,0.5217313917422486,Not significant
01060046,0.01564477812778123,0.031927008260354585,0.6123681072726501,Not significant
01060058,0,0.10245161189946368,0.5217313917422486,Not significant
01060065,0,0.10245161189946368,0.5217313917422486,Not significant
01060076,0,0.10245161189946368,0.5217313917422486,Not significant
01060085,0,0.10245161189946368,0.5217313917422486,Not significant
01060002,0,0.10245161189946368,0.5217313917422486,Not significant
01060034,0,0.10245161189946368,0.5217313917422486,Not significant
01060036,0,0.10245161189946368,0.5217313917422486,Not significant
01060054,2.9962851291803874e-4,0.07765541515501656,0.6231614092595955,Not significant
01060064,0,0.10215432051906218,0.522939759202923,Not significant
01060073,0,0.10245161189946368,0.5217313917422486,Not significant
01060042,0,0.10245161189946368,0.5217313917422486,Not significant
01060045,0,0.10245161189946368,0.5217313917422486,Not significant
01060047,0,0.10245161189946368,0.5217313917422486,Not significant
01060066,0,0.10245161189946368,0.5217313917422486,Not significant
01060077,0,0.10245161189946368,0.5217313917422486,Not significant
01060082,0,0.10245161189946368,0.5217313917422486,Not significant
01060084,0,0.10245161189946368,0.5217313917422486,Not significant
01060094,0,0.08692886461354134,0.5866851969645368,Not significant
01060100,0,0.10245161189946368,0.5217313917422486,Not significant
01060007,0,0.10245161189946368,0.5217313917422486,Not significant
01060022,0,0.10245161189946368,0.5217313917422486,Not significant
01060029,0,0.10245161189946368,0.5217313917422486,Not significant
01060051,0,0.10245161189946368,0.5217313917422486,Not significant
01060053,0,0.10245161189946368,0.5217313917422486,Not significant
01060088,0,0.10245161189946368,0.5217313917422486,Not significant
01060101,0,0.10245161189946368,0.5217313917422486,Not significant
01060011,0,0.10242072530725062,0.5218568661750846,Not significant
01060016,0,0.10245161189946368,0.5217313917422486,Not significant
01060028,3.112940469853503e-5,0.10220253232604591,0.5222422913546594,Not significant
01060038,0,0.10245161189946368,0.5217313917422486,Not significant
01060052,0,0.10242072530725062,0.5218568661750846,Not significant
