PC,eigenvalue,variance,cumulative
149,0.010347327399186706,5.879163294992445e-5,0.9997545653812331
150,0.00851795480232142,4.839747046773533e-5,0.9998029628517008
151,0.006822700334545065,3.876534280991513e-5,0.9998417281945107
152,0.006214589149666714,3.531016562310632e-5,0.9998770383601338
153,0.005238486439291143,2.9764127495972393e-5,0.9999068024876298
154,0.0040910703024717885,2.324471762768061e-5,0.9999300472052575
155,0.0034143259986054012,1.9399579537530682e-5,0.999949446784795
156,0.003209029028167734,1.8233119478225758e-5,0.9999676799042733
157,0.0021813988097738974,1.2394311419169867e-5,0.9999800742156925
158,0.0013925323319050205,7.912115522187614e-6,0.9999879863312147
159,9.940783821464033e-4,5.648172625831835e-6,0.9999936345038405
160,7.384758268291676e-4,4.195885379711178e-6,0.9999978303892202
161,1.0824969876564105e-4,6.150551066229604e-7,0.9999984454443268
162,1.0268543471687659e-4,5.834399699822531e-7,0.9999990288842968
163,9.492435345596282e-5,5.39342917363425e-7,0.9999995682272141
164,3.4278748027312244e-5,1.9476561379154677e-7,0.9999997629928279
165,2.395035819950903e-5,1.3608158067902854e-7,0.9999998990744086
166,1.0027801064766718e-5,5.697614241344724e-8,0.9999999560505509
167,5.427650524501255e-6,3.083892343466621e-8,0.9999999868894743
168,1.4044058487676722e-6,7.979578686179953e-9,0.999999994869053
169,6.014897510806824e-7,3.4175554038675124e-9,0.9999999982866083
170,3.015565558525977e-7,1.713389521889759e-9,0.9999999999999979
171,5.2562787063131584e-30,2.9865219922233844e-32,0.9999999999999979
172,1.5929958365328492e-30,9.051112707573005e-33,0.9999999999999979
173,3.151557881147782e-31,1.7906578870157845e-33,0.9999999999999979
174,1.2630873707461636e-31,7.1766327883304725e-34,0.9999999999999979
175,1.2630873707461636e-31,7.1766327883304725e-34,0.9999999999999979
176,9.553562511427884e-32,5.42816051785675e-34,0.9999999999999979
