AGS,mun_name,municipality_area_m2,landcover_total_area_m2,landcover_area_ratio_to_municipality,artificial_total_area_m2,has_artificial_land
12070052,Breese,23851756.303758033,23851754.081970427,0.9999999068501465,750414.7180343352,TRUE
15087101,Brücken-Hackpfüffel,16748051.981546238,16748051.004714366,0.9999999416748961,480012.09907874995,TRUE
01051072,"Marne, Stadt",4809651.634468842,4809651.184020679,0.9999999063449503,2287783.048120073,TRUE
01051073,Marnerdeich,1294302.9311523372,1294302.9090624875,0.9999999829330143,157940.5614588498,TRUE
01051076,Neufeld,10481785.314811675,10481784.704334797,0.9999999417583113,398543.164311631,TRUE
16068005,Büchel,6465064.2897306755,6465066.448826948,1.0000003339636199,137430.616601916,TRUE
01051077,Neufelderkoog,9766139.134465128,9766138.469223144,0.999999931882807,202786.892703787,TRUE
01051057,Kaiser-Wilhelm-Koog,13229187.700911168,13229186.659000743,0.9999999212415419,333076.30730019807,TRUE
16068009,Elxleben,12186547.95859878,12186547.037836123,0.9999999244443415,1715979.3686374477,TRUE
12062024,"Bad Liebenwerda, Stadt",139016262.1988965,139016242.14733192,0.9999998557610149,7011964.014855766,TRUE
12069537,Rosenau,49705921.922633074,49705916.83636287,0.9999998976727519,925324.6325555504,TRUE
03355042,Wittorf,12091506.482025221,12091506.118262555,0.9999999699158524,827613.0529111078,TRUE
01051062,Kronprinzenkoog,14989544.4613645,14989543.10032037,0.9999999092004341,376589.42327340745,TRUE
16068014,"Gebesee, Stadt",23937622.069045044,23937620.722812116,0.999999943760791,1053200.56771715,TRUE
01051064,Kuden,11403561.27569756,11403560.50405751,0.9999999323334149,353746.32752961,TRUE
03355049,Amt Neuhaus,237952226.9163942,237952211.4897331,0.9999999351690829,4096115.7616646425,TRUE
14524150,Langenweißbach,22713642.607631214,22713640.98016589,0.9999999283485547,842731.5430805393,TRUE
14628270,"Pirna, Stadt",53310434.51993452,53310429.48593429,0.9999999055719527,12543504.700416524,TRUE
12069541,Roskow,39258187.474526584,39258182.736555934,0.9999998793125472,951848.3583030207,TRUE
15087125,Edersleben,9136558.164322346,9136557.027628813,0.9999998755884313,685450.6742661148,TRUE
12070060,Cumlosen,22136805.302360814,22136803.336390078,0.9999999111899522,750636.5419229536,TRUE
01051090,Ramhusen,4811046.791946799,4811046.32645941,0.9999999032461314,154386.95728371583,TRUE
03355032,Rullstorf,22717640.629144426,22717638.627958186,0.999999911910472,755737.6922419823,TRUE
03355033,Scharnebeck,27052807.92885271,27052806.794169236,0.9999999580567208,1649655.8181027991,TRUE
16068002,Andisleben,6732502.916401412,6732502.361593072,0.9999999175925586,374426.39599490364,TRUE
14524180,"Limbach-Oberfrohna, Stadt",50048237.61829634,50048234.65733702,0.9999999408378903,6894446.391528372,TRUE
01051097,Sankt Michaelisdonn,16233178.391032968,16233177.093589872,0.9999999200746111,1586756.460818883,TRUE
12071372,"Spremberg/Grodk, Stadt",202363574.31507266,202363557.47712415,0.9999999167935802,23785582.05527487,TRUE
15090310,Klietz,66344740.753763616,66344732.61015599,0.9999998772531548,2511600.2111641825,TRUE
12072232,"Luckenwalde, Stadt",46592886.66626696,46592884.13076092,0.9999999455816924,9733414.859864749,TRUE
16068015,Griefstedt,5039260.894747333,5039257.668089093,0.9999993596961325,128650.12819033333,TRUE
15089305,"Schönebeck (Elbe), Stadt",86644505.20493677,86644499.58007953,0.9999999350812007,13360871.896128844,TRUE
12072240,"Ludwigsfelde, Stadt",110231180.86987475,110231169.5801236,0.9999998975811467,12524623.368166128,TRUE
15087165,"Gerbstedt, Stadt",102352804.82213216,102352799.10284945,0.9999999441218762,4594530.923608465,TRUE
12065100,"Gransee, Stadt",121629159.64554872,121629148.63378052,0.9999999094644062,3808673.5447173137,TRUE
15089310,"Staßfurt, Stadt",147454410.184124,147454397.6913128,0.9999999152767883,15939148.096320804,TRUE
16068049,Schwerstedt,12701257.201026253,12701256.34865738,0.999999932890984,289608.5078317362,TRUE
