AGS,mun_name,municipality_area_m2,class_code,class_name,class_slug,thesis_group,total_area_m2,total_share_of_municipality
03352045,Osterbruch,10529560.677544713,1,Artificial Land,artificial_land,artificial,355607.57225262973,0.03377230856468652
03359034,Nottensdorf,6989547.716333651,1,Artificial Land,artificial_land,artificial,605858.5681804247,0.08668065413797994
03352046,"Otterndorf, Stadt",33983459.43569366,1,Artificial Land,artificial_land,artificial,3659004.8746756767,0.10767017058988804
01051024,Eddelak,9430113.660749562,1,Artificial Land,artificial_land,artificial,720173.9165000874,0.07636959027308729
03359035,Oederquart,37754544.68789787,1,Artificial Land,artificial_land,artificial,797489.9334613855,0.021123018170499063
12065180,Leegebruch,6189141.870169288,1,Artificial Land,artificial_land,artificial,1939008.4883236764,0.3132919763351038
03359038,"Stade, Hansestadt",100089867.20171496,1,Artificial Land,artificial_land,artificial,18031029.415251076,0.18014839982665226
03359039,Steinkirchen,8598347.444381874,1,Artificial Land,artificial_land,artificial,817419.4904368249,0.09506704581598682
14729260,"Markkleeberg, Stadt",31276507.83787981,1,Artificial Land,artificial_land,artificial,7735015.039020774,0.24731069974675024
13071156,"Waren (Müritz), Stadt",149441319.74306363,1,Artificial Land,artificial_land,artificial,7745261.6637641685,0.05182811338310379
13071159,"Wesenberg, Stadt",90027834.1136368,1,Artificial Land,artificial_land,artificial,2202339.839565239,0.024462877078497255
01051034,Friedrichskoog,40956108.532680385,1,Artificial Land,artificial_land,artificial,1889808.5052735042,0.046142286779164
01051016,Burg (Dithmarschen),11383828.076215843,1,Artificial Land,artificial_land,artificial,1402777.9212563941,0.1232255012869712
03352061,Wurster Nordseeküste,22519128.833090708,1,Artificial Land,artificial_land,artificial,1433060.7612430563,0.06363748668364323
03352062,"Geestland, Stadt",173612654.49402496,1,Artificial Land,artificial_land,artificial,5404271.13085231,0.031128324986461762
03352063,Cadenberge,30870525.978667486,1,Artificial Land,artificial_land,artificial,1842784.943437313,0.05969399240915869
01051021,Diekhusen-Fahrstedt,7534255.303305844,1,Artificial Land,artificial_land,artificial,437280.56898549286,0.05803899010345787
01051022,Dingen,6804427.198824078,1,Artificial Land,artificial_land,artificial,348299.58297741576,0.05118720103840745
01051046,Helse,11579597.503951008,1,Artificial Land,artificial_land,artificial,488342.9532612266,0.04217270532024985
13071176,Südmüritz,69474792.46354647,1,Artificial Land,artificial_land,artificial,671808.1150893802,0.009669811038901324
01051051,Hochdonn,5466085.790561039,1,Artificial Land,artificial_land,artificial,603979.8642686001,0.11049586256248782
15082301,"Raguhn-Jeßnitz, Stadt",97503375.77500153,1,Artificial Land,artificial_land,artificial,5442849.6059108,0.055822165772708245
12065193,"Liebenwalde, Stadt",138839571.0240909,1,Artificial Land,artificial_land,artificial,2969987.643022663,0.02139150691057179
12065198,Löwenberger Land,245182486.1713247,1,Artificial Land,artificial_land,artificial,6271010.405980285,0.025576910096255116
14626060,Boxberg/O.L. / Hamor,213357255.29762965,1,Artificial Land,artificial_land,artificial,29276559.088732652,0.1372184838424752
12070052,Breese,23851756.303758033,1,Artificial Land,artificial_land,artificial,750414.7180343352,0.03146161265768514
15087101,Brücken-Hackpfüffel,16748051.981546238,1,Artificial Land,artificial_land,artificial,480012.09907874995,0.02866077198755109
01051072,"Marne, Stadt",4809651.634468842,1,Artificial Land,artificial_land,artificial,2287783.048120073,0.47566502150061146
01051073,Marnerdeich,1294302.9311523372,1,Artificial Land,artificial_land,artificial,157940.5614588498,0.12202750813384389
01051076,Neufeld,10481785.314811675,1,Artificial Land,artificial_land,artificial,398543.164311631,0.03802245059803456
16068005,Büchel,6465064.2897306755,1,Artificial Land,artificial_land,artificial,137430.616601916,0.021257424588989066
01051077,Neufelderkoog,9766139.134465128,1,Artificial Land,artificial_land,artificial,202786.892703787,0.020764284627908202
01051057,Kaiser-Wilhelm-Koog,13229187.700911168,1,Artificial Land,artificial_land,artificial,333076.30730019807,0.025177381622399783
16068009,Elxleben,12186547.95859878,1,Artificial Land,artificial_land,artificial,1715979.3686374477,0.14080930666068234
12062024,"Bad Liebenwerda, Stadt",139016262.1988965,1,Artificial Land,artificial_land,artificial,7011964.014855766,0.050439883103916644
12069537,Rosenau,49705921.922633074,1,Artificial Land,artificial_land,artificial,925324.6325555504,0.01861598370503643
03355042,Wittorf,12091506.482025221,1,Artificial Land,artificial_land,artificial,827613.0529111078,0.06844581807415033
01051062,Kronprinzenkoog,14989544.4613645,1,Artificial Land,artificial_land,artificial,376589.42327340745,0.025123473514759933
16068014,"Gebesee, Stadt",23937622.069045044,1,Artificial Land,artificial_land,artificial,1053200.56771715,0.043997710577906454
01051064,Kuden,11403561.27569756,1,Artificial Land,artificial_land,artificial,353746.32752961,0.031020688974021517
03355049,Amt Neuhaus,237952226.9163942,1,Artificial Land,artificial_land,artificial,4096115.7616646425,0.017214025751075803
14524150,Langenweißbach,22713642.607631214,1,Artificial Land,artificial_land,artificial,842731.5430805393,0.037102439165675814
14628270,"Pirna, Stadt",53310434.51993452,1,Artificial Land,artificial_land,artificial,12543504.700416524,0.23529173628712585
12069541,Roskow,39258187.474526584,1,Artificial Land,artificial_land,artificial,951848.3583030207,0.024245855948409372
15087125,Edersleben,9136558.164322346,1,Artificial Land,artificial_land,artificial,685450.6742661148,0.07502285455181079
12070060,Cumlosen,22136805.302360814,1,Artificial Land,artificial_land,artificial,750636.5419229536,0.033908982424076375
01051090,Ramhusen,4811046.791946799,1,Artificial Land,artificial_land,artificial,154386.95728371583,0.032090096804326215
03355032,Rullstorf,22717640.629144426,1,Artificial Land,artificial_land,artificial,755737.6922419823,0.03326655723536922
03355033,Scharnebeck,27052807.92885271,1,Artificial Land,artificial_land,artificial,1649655.8181027991,0.060979097712936
16068002,Andisleben,6732502.916401412,1,Artificial Land,artificial_land,artificial,374426.39599490364,0.0556147395172668
14524180,"Limbach-Oberfrohna, Stadt",50048237.61829634,1,Artificial Land,artificial_land,artificial,6894446.391528372,0.13775602737723458
01051097,Sankt Michaelisdonn,16233178.391032968,1,Artificial Land,artificial_land,artificial,1586756.460818883,0.09774773754075111
12071372,"Spremberg/Grodk, Stadt",202363574.31507266,1,Artificial Land,artificial_land,artificial,23785582.05527487,0.11753885122745258
15090310,Klietz,66344740.753763616,1,Artificial Land,artificial_land,artificial,2511600.2111641825,0.037856809486767104
12072232,"Luckenwalde, Stadt",46592886.66626696,1,Artificial Land,artificial_land,artificial,9733414.859864749,0.20890345192781748
16068015,Griefstedt,5039260.894747333,1,Artificial Land,artificial_land,artificial,128650.12819033333,0.02552956294134952
15089305,"Schönebeck (Elbe), Stadt",86644505.20493677,1,Artificial Land,artificial_land,artificial,13360871.896128844,0.1542033377018763
12072240,"Ludwigsfelde, Stadt",110231180.86987475,1,Artificial Land,artificial_land,artificial,12524623.368166128,0.11362142063007694
15087165,"Gerbstedt, Stadt",102352804.82213216,1,Artificial Land,artificial_land,artificial,4594530.923608465,0.04488915503188019
12065100,"Gransee, Stadt",121629159.64554872,1,Artificial Land,artificial_land,artificial,3808673.5447173137,0.03131381944770923
15089310,"Staßfurt, Stadt",147454410.184124,1,Artificial Land,artificial_land,artificial,15939148.096320804,0.10809543150603526
16068049,Schwerstedt,12701257.201026253,1,Artificial Land,artificial_land,artificial,289608.5078317362,0.022801562337335865
