AGS,mun_name,municipality_area_m2,rp,thesis_group,total_area_m2,flooded_area_m2,flooded_landcover_total_area_m2,original_flood_area_m2,flood_share_of_group,share_of_lc_flooded_area,share_of_original_flood_area
12067201,Grünheide (Mark),126352102.2191363,rp100,water,3886771.9784167195,137184.7735974307,5074990.962242516,5074990.989256918,0.035295297578355256,0.027031530621053967,0.027031530477163928
12067288,Langewahl,13351545.328581879,rp100,artificial,785626.0375792629,486819.090062646,3142417.013637266,3142416.9645000566,0.619657530143316,0.1549186781862429,0.15491868060866856
12067288,Langewahl,13351545.328581879,rp100,open_or_seasonal,2072118.21802055,1054513.08701519,3142417.013637266,3142416.9645000566,0.5089058519173407,0.33557388546423966,0.3355738907115268
12067288,Langewahl,13351545.328581879,rp100,perennial_vegetation,10293454.651045641,1486301.218418423,3142417.013637266,3142416.9645000566,0.1443928466005764,0.472980260725507,0.4729802681213842
12067288,Langewahl,13351545.328581879,rp100,water,200345.4578392492,114783.61814100732,3142417.013637266,3142416.9645000566,0.5729284775355677,0.036527175624010595,0.036527176195177154
12067397,Ragow-Merz,38032358.61743702,rp100,artificial,371813.4652060297,7649.299729991365,610471.6209931278,610471.562726156,0.02057294973368629,0.012530147949461314,0.012530149145411826
12067397,Ragow-Merz,38032358.61743702,rp100,open_or_seasonal,12955631.006903822,122932.37533940314,610471.6209931278,610471.562726156,0.009488721566235925,0.2013727929554108,0.2013728121756064
12067397,Ragow-Merz,38032358.61743702,rp100,perennial_vegetation,24644419.30012036,442557.8070554347,610471.6209931278,610471.562726156,0.01795772915831185,0.724944111792572,0.7249441809854725
12067397,Ragow-Merz,38032358.61743702,rp100,water,60493.882800489664,37332.138868298585,610471.6209931278,610471.562726156,0.6171225442979237,0.06115294730255584,0.06115295313935033
12067408,Rauen,21598525.338808782,rp100,artificial,1190861.9264099048,142254.55183135442,170624.55025904934,170624.5546217852,0.11945511790792544,0.8337285086781333,0.8337284873603501
12067408,Rauen,21598525.338808782,rp100,open_or_seasonal,8570360.487365426,11109.506602617495,170624.55025904934,170624.5546217852,0.001296270631672416,0.0651108330293066,0.06511083136447374
12067408,Rauen,21598525.338808782,rp100,perennial_vegetation,11813622.188701244,17260.49182507744,170624.55025904934,170624.5546217852,0.0014610668556495465,0.10116065829256012,0.10116065570596151
12067408,Rauen,21598525.338808782,rp100,water,23698.830383409164,0,170624.55025904934,170624.5546217852,0,0,0
12067426,Rietz-Neuendorf,184259440.4070344,rp100,artificial,4185423.2076836377,379758.1282061117,12294986.453321492,12294986.272990182,0.09073350754804158,0.03088723437377355,0.03088723482679849
12067426,Rietz-Neuendorf,184259440.4070344,rp100,open_or_seasonal,96246293.6245448,4939463.165895687,12294986.453321492,12294986.272990182,0.05132107408898728,0.40174612510949864,0.40174613100193346
12067426,Rietz-Neuendorf,184259440.4070344,rp100,perennial_vegetation,82657719.51373355,6215389.355988794,12294986.453321492,12294986.272990182,0.07519429997044752,0.5055222614181657,0.5055222688326915
12067426,Rietz-Neuendorf,184259440.4070344,rp100,water,1169993.0545387983,760375.803230898,12294986.453321492,12294986.272990182,0.6498977068976123,0.06184437909856195,0.06184438000563721
12067469,Spreenhagen,137473932.05312648,rp100,artificial,5927706.008122797,147493.37090152426,9346201.575333845,9346201.565860877,0.024882032054122212,0.015781103126513277,0.015781103142508426
12067469,Spreenhagen,137473932.05312648,rp100,open_or_seasonal,15412921.59396233,960692.9543756979,9346201.575333845,9346201.565860877,0.06233036017986544,0.10278966772032007,0.10278966782450391
12067469,Spreenhagen,137473932.05312648,rp100,perennial_vegetation,114295579.35339291,8040182.816468405,9346201.575333845,9346201.565860877,0.07034552746444195,0.8602620809814078,0.860262081853338
