AGS,mun_name,municipality_area_m2,rp,class_code,class_name,class_slug,thesis_group,total_area_m2,flooded_area_m2,flood_share_of_class,flooded_landcover_total_area_m2,original_flood_area_m2,flood_area_rp10_m2,flood_area_rp20_m2,flood_area_rp50_m2,flood_area_rp100_m2,flood_area_rp200_m2,flood_area_rp500_m2,flood_share_rp10,flood_share_rp20,flood_share_rp50,flood_share_rp100,flood_share_rp200,flood_share_rp500,share_of_lc_flooded_area,share_of_original_flood_area
14628320,Rathmannsdorf,4185752.195803851,rp100,1,Artificial Land,artificial_land,artificial,403352.5146368326,60146.27223727286,0.14911589752062634,145431.211271246,145431.19684474514,88984.58173638361,94958.3078374834,104934.3996343584,145431.19684474514,165383.3980166201,176632.77143833347,0.02125892254815973,0.02268607968065514,0.02506942473554776,0.03474433985617628,0.03951103416547551,0.04219857344049296,0.4135719678844806,0.413572008910041
14522020,"Augustusburg, Stadt",23324653.61563441,rp100,1,Artificial Land,artificial_land,artificial,1310118.7357554955,115108.21985285863,0.08786090658147874,1440798.6959363334,1440798.689984952,1337622.5848290946,1405821.1257344915,1430679.77915065,1440798.689984952,1471144.300782415,1481132.0722667903,0.05734801497470008,0.06027189723375681,0.06133766454699552,0.06177149353331408,0.06307250367037878,0.06350071030739741,0.07989195171921858,0.07989195204922128
15002000,"Halle (Saale), Stadt",135824964.26597008,rp100,1,Artificial Land,artificial_land,artificial,51591001.0020125,5684003.761149843,0.11017432596293524,25128913.703001827,25128913.541060213,21719115.103946436,23025555.250766978,23080504.14382693,25128913.541060213,25158907.34770084,25169469.49052929,0.15990517811892402,0.16952373501588955,0.16992829166979267,0.18500953544779303,0.18523036235397128,0.18530812525187104,0.22619377137941496,0.2261937728371057
15083270,"Haldensleben, Stadt",156431520.31214672,rp100,1,Artificial Land,artificial_land,artificial,11691290.731608778,343520.7035864723,0.02938261578404887,6523532.027583383,6523532.050273442,4946810.391363221,5583233.325581377,6473525.799296879,6523532.050273442,7921332.575637631,8195208.738629008,0.03162284929208801,0.03569122971150876,0.04138248983567679,0.04170215847328114,0.05063770114764108,0.05238847466467191,0.052658698100042624,0.05265869791688587
12061260,"Königs Wusterhausen, Stadt",95823966.69664505,rp100,1,Artificial Land,artificial_land,artificial,15631087.868758433,1155162.881043834,0.07390163056741794,10072049.095766941,10072049.096896945,5750731.093079011,6508385.576349062,7475198.013735741,10072049.096896945,10777634.027930334,11157218.81488627,0.06001349444533434,0.06792022706545847,0.07800969080522796,0.1051099160691454,0.1124732611210894,0.11643453302457477,0.1146899573324482,0.1146899573195809
15084150,Gleina,29875109.423009828,rp100,1,Artificial Land,artificial_land,artificial,801617.9186722847,0,0,19770.416370034953,19770.418112879815,3554.9680547158473,3554.9680547158473,19770.418112879815,19770.418112879815,19770.418112879815,19770.418112879815,1.1899431076151336e-4,1.1899431076151336e-4,6.617688937283901e-4,6.617688937283901e-4,6.617688937283901e-4,6.617688937283901e-4,0,0
12072312,Nuthe-Urstromtal,341192433.78414,rp100,1,Artificial Land,artificial_land,artificial,12085929.731841305,134125.96023977557,0.011097694858047244,8336554.551293372,8336554.540092975,5100479.92974265,6699333.768134499,7733233.399712492,8336554.540092975,11404983.221744869,12874658.064517269,0.01494898310954204,0.01963505958743775,0.02266531327774116,0.0244335856092495,0.03342683510080527,0.03773430120277109,0.016088896127833367,0.016088896149449253
15084135,"Freyburg (Unstrut), Stadt",46837141.22753964,rp100,1,Artificial Land,artificial_land,artificial,2604947.9887794503,209679.75489840668,0.08049287578929828,1725953.5362628687,1725953.4716482456,1353000.975965435,1617166.6664817035,1674987.2636917958,1725953.4716482456,1725953.4716482456,1785990.3957703784,0.02888735180041021,0.03452744177159194,0.03576194489656265,0.03685010285455695,0.03685010285455695,0.03813192583838227,0.12148632653948324,0.12148633108757409
12062124,"Elsterwerda, Stadt",40376165.00680845,rp100,1,Artificial Land,artificial_land,artificial,5620897.91452926,417428.67408985755,0.07426369957918305,9381439.666225564,9381439.596809804,4786115.020930727,6777825.708805412,8281322.485932259,9381439.596809804,10371978.827536156,10467395.212930445,0.11853812812890144,0.16786700043608643,0.20510423623778576,0.2323509326660383,0.2568837041801066,0.25924689011859775,0.04449516161071275,0.04449516193994425
12062128,"Falkenberg/Elster, Stadt",81963253.69837146,rp100,1,Artificial Land,artificial_land,artificial,4462457.468675143,125040.8053107227,0.028020615588711932,8977807.72645762,8977807.459151534,5856391.421373586,5856391.421373586,6562524.71392216,8977807.459151534,11967895.441460704,16638770.048794411,0.07145142679334542,0.07145142679334542,0.08006666912068368,0.10953454205454408,0.14601537764109643,0.20300280062118875,0.013927766011542792,0.013927766426229409
12067397,Ragow-Merz,38032358.61743702,rp100,1,Artificial Land,artificial_land,artificial,371813.4652060297,7649.299729991365,0.02057294973368629,610471.6209931278,610471.562726156,579579.1542077055,579579.1542077055,610471.562726156,610471.562726156,610471.562726156,640326.3350435012,0.01523910625784804,0.01523910625784804,0.01605137269730801,0.01605137269730801,0.01605137269730801,0.0168363561535709,0.012530147949461314,0.012530149145411826
12066064,Frauendorf,20809430.093916778,rp100,1,Artificial Land,artificial_land,artificial,478987.4910855184,0.08476480519323783,1.769666364379105e-7,349386.65368032013,349386.6318240228,291935.75238868763,343135.7860417576,349386.6318240228,349386.6318240228,350167.8557350128,471581.42313356383,0.01402901237905738,0.01648943697607877,0.01678982222228945,0.01678982222228945,0.0168273640438321,0.02266190957682311,2.426103123870194e-7,2.4261032756379677e-7
12061265,Krausnick-Groß Wasserburg,54671599.66240399,rp100,1,Artificial Land,artificial_land,artificial,1248857.2649560443,0,0,1139893.8044014154,1139893.8487517354,488469.43824816734,953993.5038898556,1137435.749504638,1139893.8487517354,1139893.8487517354,1148113.5511859937,0.0089346103143946,0.01744952607534343,0.02080487413077869,0.02084983530371448,0.02084983530371448,0.02100018214713985,0,0
15084170,Goseck,14465217.502377346,rp100,1,Artificial Land,artificial_land,artificial,531923.2649679903,5893.230478756115,0.011079098935653347,172850.611564349,172850.59839328312,116493.18589183992,172850.59839328312,172850.59839328312,172850.59839328312,226476.55412447377,226476.55412447377,0.00805333109389432,0.01194939504814741,0.01194939504814741,0.01194939504814741,0.01565662971104669,0.01565662971104669,0.034094357118095456,0.03409435971605594
01058119,Oldenbüttel,4571073.039308612,rp100,1,Artificial Land,artificial_land,artificial,157070.76708137788,0,0,44925.025197339455,44925.02082077376,0,0,2338.475967795308,44925.02082077376,94374.6510886117,94374.6510886117,0,0,5.115814049974159e-4,0.00982811266292275,0.02064606062450626,0.02064606062450626,0,0
14522420,Niederwiesa,16579992.672688615,rp100,1,Artificial Land,artificial_land,artificial,1540072.9292955478,283615.2611305384,0.18415703291419339,2140104.540213863,2140104.4927816647,1758674.076431898,1858557.3947912736,1988404.913345961,2140104.4927816647,2210022.41660979,2259963.84629729,0.10607206596230125,0.11209639421932804,0.1199279729852571,0.1290775294676065,0.13329453518096232,0.1363066854679625,0.13252402198174695,0.13252402491894263
16075134,Remptendorf,97380292.82756546,rp100,1,Artificial Land,artificial_land,artificial,1968009.3822681254,495.8826349821725,2.519716823761628e-4,634301.0006960176,634300.992028509,563621.2734996332,625724.6281908866,634300.992028509,634300.992028509,643663.3928160459,652448.4162173852,0.00578783711913514,0.00642557759914398,0.00651364843553805,0.00651364843553805,0.00660979109968176,0.00670000466493459,7.8177810603805e-4,7.817781167207834e-4
16075135,"Saalburg-Ebersdorf, Stadt",71989502.31522453,rp100,1,Artificial Land,artificial_land,artificial,3124523.695600403,75005.93738742443,0.024005558829027034,4821436.371647248,4821436.321988061,4584200.216632292,4584200.216632292,4791439.765347436,4821436.321988061,4960672.257833133,5180647.100606571,0.06367873188731314,0.06367873188731314,0.06655747867747282,0.06697415827207923,0.06890827271053432,0.07196392437777631,0.015556761845598843,0.015556762005828305
16075136,Rosenthal am Rennsteig,51856705.8725284,rp100,1,Artificial Land,artificial_land,artificial,2091535.903577921,294355.9644838775,0.14073674947694303,1483489.8656913901,1483489.9106548307,959996.1404555186,1181313.1901130842,1411137.0466892424,1483489.9106548307,1585213.1322728556,1688065.3746553452,0.01851247826684814,0.02278033612503135,0.02721223847419136,0.02860748452285945,0.03056910587744521,0.03255249916577548,0.1984212843588864,0.19842127834488957
