AGS,Gemeinde,shortlist_available_n,shortlist_available_pct
01058097,097,13,100
01058129,129,13,100
01058154,154,13,100
01058031,031,13,100
01058048,048,13,100
01058068,068,13,100
01058071,071,13,100
01058075,075,11,84.61538461538461
01058086,086,13,100
01058101,101,13,100
01058148,148,13,100
01058155,155,13,100
01058172,172,13,100
01058011,011,13,100
01058021,021,13,100
01058023,023,13,100
01058027,027,13,100
01058038,038,13,100
01058045,045,13,100
01058046,046,13,100
01058049,049,13,100
01058059,059,13,100
01058065,065,13,100
01058091,091,13,100
01058094,094,13,100
01058117,117,13,100
01058120,120,13,100
01058147,147,13,100
01058163,163,13,100
01058168,168,13,100
01058026,026,13,100
01058073,073,13,100
01058122,122,13,100
01058124,124,13,100
01058132,132,13,100
01058140,140,13,100
01058146,146,13,100
01058016,016,13,100
01058022,022,13,100
01058033,033,13,100
01058063,063,13,100
01058064,064,13,100
01058076,076,13,100
01058098,098,13,100
01058108,108,13,100
01058109,109,13,100
01058133,133,13,100
01058143,143,13,100
01058144,144,13,100
01058153,153,13,100
01058170,170,13,100
01058008,008,13,100
01058024,024,13,100
01058030,030,13,100
01058035,035,13,100
01058039,039,13,100
01058066,066,13,100
01058069,069,13,100
01058080,080,13,100
01058081,081,13,100
01058083,083,13,100
01058088,088,13,100
01058111,111,11,84.61538461538461
01058123,123,13,100
01058127,127,13,100
01058152,152,13,100
01058175,175,13,100
01058004,004,13,100
01058012,012,13,100
01058032,032,13,100
01058040,040,13,100
01058042,042,13,100
01058052,052,13,100
01058057,057,13,100
01058067,067,13,100
01058082,082,13,100
01058084,084,13,100
01058087,087,13,100
01058090,090,13,100
01058099,099,13,100
01058102,102,13,100
01058137,137,13,100
01058162,162,13,100
01058166,166,13,100
01058173,173,13,100
01058174,174,13,100
01058007,007,13,100
01058009,009,13,100
01058013,013,13,100
01058014,014,13,100
01058015,015,13,100
01058025,025,13,100
01058044,044,13,100
01058061,061,13,100
01058062,062,13,100
01058072,072,13,100
01058074,074,13,100
01058077,077,13,100
01058085,085,13,100
01058100,100,13,100
01058103,103,13,100
01058106,106,13,100
01058113,113,13,100
01058115,115,13,100
01058119,119,13,100
01058125,125,13,100
01058128,128,13,100
01058131,131,11,84.61538461538461
01058134,134,13,100
01058151,151,13,100
01058156,156,13,100
01058158,158,11,84.61538461538461
01058159,159,13,100
01058161,161,13,100
01058164,164,13,100
01058167,167,13,100
01058018,018,13,100
01058019,019,13,100
01058053,053,13,100
01058105,105,13,100
01058107,107,13,100
01058138,138,13,100
01058139,139,13,100
01058141,141,13,100
01058145,145,13,100
01058160,160,13,100
01059045,045,13,100
01059075,075,13,100
01059113,113,13,100
01059120,120,13,100
01059183,183,13,100
01059107,107,13,100
01059128,128,13,100
01059131,131,13,100
01059132,132,13,100
01059138,138,13,100
01059162,162,13,100
01059169,169,13,100
01059174,174,13,100
01059012,012,13,100
01059018,018,13,100
01059019,019,13,100
01059026,026,13,100
01059032,032,13,100
01059043,043,13,100
01059056,056,13,100
01059078,078,13,100
01059103,103,13,100
01059116,116,13,100
01059126,126,13,100
01059127,127,13,100
01059182,182,13,100
01059002,002,13,100
01059034,034,13,100
01059067,067,13,100
01059068,068,13,100
01059106,106,13,100
01059118,118,13,100
01059137,137,13,100
01059145,145,13,100
01059157,157,13,100
