Kuerzel,states_with_data,all_states_present,full_coverage_all_states,min_state_coverage,mean_state_coverage,max_state_coverage,states_below_95,states_below_100,municipalities_with_value_total,municipalities_total,official_short,official_name,main_dimension,sub_dimension,period_gemeinden,period_kreise,broad_dimension
a_wg_wo3um,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Mehrfamilienhäuser,Anteil der Wohngebäude mit 3 und mehr Wohnungen an den Wohngebäuden in %,Bauen und Wohnen,Bauen und Wohnen - Gebäude- und Wohnungsbestand,2011-2023,2011-2023,Housing and land-use context
a_wo_wg12,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Wohnungen in Ein- und Zweifamilienhäusern,Anteil Wohnungen in Ein- und Zweifamilienhäusern an allen Wohnungen in %,Bauen und Wohnen,Bauen und Wohnen - Gebäude- und Wohnungsbestand,2011-2023,2011-2023,Housing and land-use context
a_wo_wg3um,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Wohnungen in Mehrfamilienhäusern,Anteil Wohnungen in Mehrfamilienhäusern an allen Wohnungen in %,Bauen und Wohnen,Bauen und Wohnen - Gebäude- und Wohnungsbestand,2016-2023,2011-2023,Housing and land-use context
a_gb_Frauen,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Anteil Minijobs (Frauen),Anteil der geringfügig entlohnten weiblichen Beschäftigten an den geringfügig entlohnten Beschäftigten am Arbeitsort in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,,2003-2023,Labour market and employment
a_gb_Männer,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Anteil Minijobs (Männer),Anteil der geringfügig entlohnten männlichen Beschäftigten an den geringfügig entlohnten Beschäftigten in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,,2003-2023,Labour market and employment
a_gb_nj,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Anteil Minijobs (Nebenverdienst),Anteil der geringfügig entlohnten Beschäftigten im Nebenjob an den geringfügig entlohnten Beschäftigten in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,,2003-2023,Labour market and employment
a_gb_nj_prBv,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Anteil Minijobs (Nebenverdienst) an den Beschäftigungsverhältnissen,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort im Nebenjob an den privatrechtlichen Beschäftigungsverhältnissen in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,,2003-2023,Labour market and employment
a_gb_knj_prBv,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Anteil Minijobs (ausschließlich) an den Beschäftigungsverhältnissen,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort (ausschließlich) an den privatrechtlichen Beschäftigungsverhältnissen in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,,2003-2023,Labour market and employment
a_gb_knj,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Anteil Minijobs (ausschließlich) an geringfügig Beschäftigten,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort (ausschließlich) an den geringfügig entlohnten Beschäftigten in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,,2003-2023,Labour market and employment
a_Minijobs,16,TRUE,TRUE,1,1,1,0,0,10978,10978,Anteil Minijobs an den Beschäftigungsverhältnissen,Anteil der geringfügig entlohnten Beschäftigten am Arbeitsort an den privatrechtlichen Beschäftigungsverhältnissen in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit - Atypische Beschäftigung,,2003-2023,Labour market and employment
q_svw,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Beschäftigtenquote,SV Beschäftigte am Wohnort je 100 Einwohner im erwerbsfähigen Alter in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit – Struktur,2001-2023,1997-2023,Labour market and employment
q_svw_f,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Beschäftigtenquote Frauen,SV beschäftigte Frauen am Wohnort je 100 Frauen im erwerbsfähigen Alter in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit – Struktur,2001-2023,1997-2023,Labour market and employment
q_svw_m,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Beschäftigtenquote Männer,SV beschäftigte Männer am Wohnort je 100 Männer im erwerbsfähigen Alter in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit – Struktur,2001-2023,1997-2023,Labour market and employment
q_svw_ü55,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,Quote ältere Beschäftigte,SV Beschäftigte am Wohnort im Alter von 55 bis unter 65 Jahren je 100 Einwohner dieser Altersgruppe in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit – Struktur,,2005-2023,Labour market and employment
r_ewf_jungalt,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Verhältnis junge zu alte Erwerbsfähige,Verhältnis junge (15-<20J) zu alte (60-<65J) Erwerbsfähige in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit – Struktur,2001-2022,1995-2022,Labour market and employment
a_geb_bev,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Geborene,Geborene je 1.000 Einwohner,Bevölkerung,Bevölkerung - Natürliche Bevölkerungsbewegungen,1995-2023,1995-2023,Demography and household structure
a_gest_bev,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Gestorbene,Gestorbene je 1.000 Einwohner,Bevölkerung,Bevölkerung - Natürliche Bevölkerungsbewegungen,1995-2023,1995-2023,Demography and household structure
i_saldo_nat,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Natürlicher Saldo,Natürlicher Saldo je 1.000 Einwohner,Bevölkerung,Bevölkerung - Natürliche Bevölkerungsbewegungen,1995-2023,1995-2023,Demography and household structure
m_bev_alter,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Durchschnittsalter der Bevölkerung,Durchschnittsalter der Bevölkerung in Jahren,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev65um,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Einwohner 65 Jahre und älter,Anteil der Einwohner 65 Jahre und älter an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev65um_f,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,"Einwohner 65 Jahre und älter, Frauen",Anteil der weiblichen Einwohner 65 Jahre und älter an den Einwohnern dieser Altersgruppe in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev75um,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Einwohner 75 Jahre und älter,Anteil der Einwohner 75 Jahre und älter an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev75um_f,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,"Einwohner 75 Jahre und älter, Frauen",Anteil der weiblichen Einwohner 75 Jahre und älter an den Einwohnern dieser Altersgruppe in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev0003,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Einwohner unter 3 Jahren,Anteil der Einwohner unter 3 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev_0006,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Einwohner unter 6 Jahre,Anteil der Einwohner unter 6 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev1825,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Einwohner von 18 bis unter 25 Jahren,Anteil der Einwohner von 18 bis unter 25 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev1825_f,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,"Einwohner von 18 bis unter 25 Jahren, Frauen",Anteil der weiblichen Einwohner von 18 bis unter 25 Jahren an den Einwohnern dieser Altersgruppe in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev2530,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Einwohner von 25 bis unter 30 Jahren,Anteil der Einwohner von 25 bis unter 30 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
a_bev2530_f,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,"Einwohner von 25 bis unter 30 Jahren, Frauen",Anteil der weiblichen Einwohner von 25 bis unter 30 Jahren an den Einwohnern dieser Altersgruppe in %,Bevölkerung,Bevölkerung – Altersstruktur,2001-2023,1995-2023,Demography and household structure
