AGS,mun_name,municipality_area_m2,monotonicity_observed_ok,suspicious_any,monotone_adjustment_applied,flood_share_rp10_obs,flood_share_rp20_obs,flood_share_rp50_obs,flood_share_rp100_obs,flood_share_rp200_obs,flood_share_rp500_obs,flood_share_rp10_adj,flood_share_rp20_adj,flood_share_rp50_adj,flood_share_rp100_adj,flood_share_rp200_adj,flood_share_rp500_adj,onset_rp_any,onset_rp_1pct,onset_rp_5pct,slope_logrp,slope_norm_logrp,normalized_auc,realized_by_rp50,realized_by_rp100,late_growth_share,jump_rp10_rp20,jump_rp20_rp50,jump_rp50_rp100,jump_rp100_rp200,jump_rp200_rp500,max_jump_interval,max_jump_abs,max_jump_rel,low_signal_flag,exposure_curve_type
14628320,Rathmannsdorf,4185752.195803851,TRUE,FALSE,FALSE,0.02125892254815973,0.02268607968065514,0.02506942473554776,0.03474433985617628,0.03951103416547551,0.04219857344049296,0.02125892254815973,0.02268607968065514,0.02506942473554776,0.03474433985617628,0.03951103416547551,0.04219857344049296,10,10,NA,0.013876900740909017,0.32884762705255344,0.7330235573880833,0.5940822803145192,0.8233534222471195,0.17664657775288048,0.0014271571324954123,0.0023833450548926202,0.00967491512062852,0.004766694309299227,0.002687539275017449,RP50-RP100,0.00967491512062852,0.22927114193260034,FALSE,early exposure
14522020,"Augustusburg, Stadt",23324653.61563441,TRUE,FALSE,FALSE,0.05734801497470008,0.06027189723375681,0.06133766454699552,0.06177149353331408,0.06307250367037878,0.06350071030739741,0.05734801497470008,0.06027189723375681,0.06133766454699552,0.06177149353331408,0.06307250367037878,0.06350071030739741,10,10,10,0.0033379270338542606,0.05256519206944053,0.9677376951389859,0.9659366682682616,0.9727685443877327,0.027231455612267308,0.00292388225905673,0.001065767313238708,4.3382898631855876e-4,0.001301010137064705,4.282066370186327e-4,RP10-RP20,0.00292388225905673,0.046044874851047406,FALSE,early exposure
15002000,"Halle (Saale), Stadt",135824964.26597008,TRUE,FALSE,FALSE,0.15990517811892402,0.16952373501588955,0.16992829166979267,0.18500953544779303,0.18523036235397128,0.18530812525187104,0.15990517811892402,0.16952373501588955,0.16992829166979267,0.18500953544779303,0.18523036235397128,0.18530812525187104,10,10,10,0.015841603880905396,0.08548790755598802,0.9528892544869082,0.9170039977406599,0.9983886847720672,0.0016113152279327782,0.00961855689696553,4.0455665390312645e-4,0.015081243778000353,2.2082690617825085e-4,7.776289789976354e-5,RP50-RP100,0.015081243778000353,0.08138468703140732,FALSE,early exposure
15083270,"Haldensleben, Stadt",156431520.31214672,TRUE,FALSE,FALSE,0.03162284929208801,0.03569122971150876,0.04138248983567679,0.04170215847328114,0.05063770114764108,0.05238847466467191,0.03162284929208801,0.03569122971150876,0.04138248983567679,0.04170215847328114,0.05063770114764108,0.05238847466467191,10,10,200,0.012588108289545858,0.24028392447231572,0.8130902565260646,0.7899159137683963,0.7960178023927642,0.2039821976072358,0.0040683804194207515,0.0056912601241680336,3.1966863760434644e-4,0.00893554267435994,0.001750773517030832,RP100-RP200,0.00893554267435994,0.17056313877345258,FALSE,early exposure
12061260,"Königs Wusterhausen, Stadt",95823966.69664504,TRUE,FALSE,FALSE,0.06001349444533434,0.06792022706545847,0.07800969080522796,0.1051099160691454,0.1124732611210894,0.11643453302457477,0.06001349444533434,0.06792022706545847,0.07800969080522796,0.1051099160691454,0.1124732611210894,0.11643453302457477,10,10,10,0.03728725582970458,0.32024224137897905,0.7792444397571631,0.6699875782450484,0.9027383314790365,0.09726166852096352,0.007906732620124132,0.010089463739769489,0.027100225263917435,0.007363345051943998,0.003961271903485372,RP50-RP100,0.027100225263917435,0.23275075323398806,FALSE,early exposure
15084150,Gleina,29875109.423009828,TRUE,FALSE,FALSE,1.1899431076151336e-4,1.1899431076151336e-4,6.617688937283901e-4,6.617688937283901e-4,6.617688937283901e-4,6.617688937283901e-4,1.1899431076151336e-4,1.1899431076151336e-4,6.617688937283901e-4,6.617688937283901e-4,6.617688937283901e-4,6.617688937283901e-4,10,NA,NA,3.7216285138190296e-4,0.5623758609824442,0.7586221326263808,1,1,0,0,5.427745829668767e-4,0,0,0,RP20-RP50,5.427745829668767e-4,0.8201875127567536,TRUE,early exposure
12072312,Nuthe-Urstromtal,341192433.78414,TRUE,FALSE,FALSE,0.01494898310954204,0.01963505958743775,0.02266531327774116,0.0244335856092495,0.03342683510080527,0.03773430120277109,0.01494898310954204,0.01963505958743775,0.02266531327774116,0.0244335856092495,0.03342683510080527,0.03773430120277109,10,10,NA,0.013262808594365795,0.35147884475443303,0.6797563954507169,0.6006554396209858,0.6475165785620849,0.35248342143791517,0.004686076477895712,0.0030302536903034083,0.0017682723315083394,0.00899324949155577,0.004307466101965821,RP100-RP200,0.00899324949155577,0.23833088741273242,FALSE,early exposure
15084135,"Freyburg (Unstrut), Stadt",46837141.22753964,TRUE,FALSE,FALSE,0.02888735180041021,0.03452744177159194,0.03576194489656265,0.03685010285455695,0.03685010285455695,0.03813192583838227,0.02888735180041021,0.03452744177159194,0.03576194489656265,0.03685010285455695,0.03685010285455695,0.03813192583838227,10,10,NA,0.004582936872050246,0.12018634703829237,0.9334216538907091,0.9378478561018787,0.9663845201719373,0.03361547982806269,0.005640089971181733,0.0012345031249707053,0.0010881579579943013,0,0.0012818229838253217,RP10-RP20,0.005640089971181733,0.1479099166165013,FALSE,early exposure
12062124,"Elsterwerda, Stadt",40376165.00680845,TRUE,FALSE,FALSE,0.11853812812890144,0.16786700043608643,0.20510423623778576,0.2323509326660383,0.2568837041801066,0.25924689011859775,0.11853812812890144,0.16786700043608643,0.20510423623778576,0.2323509326660383,0.2568837041801066,0.25924689011859775,10,10,10,0.08414262782560783,0.32456562077606826,0.8161911249732811,0.7911540853738175,0.8962535001277918,0.10374649987220814,0.049328872307184995,0.037237235801699325,0.02724669642825253,0.024532771514068297,0.0023631859384911635,RP10-RP20,0.049328872307184995,0.190277585527134,FALSE,early exposure
12062128,"Falkenberg/Elster, Stadt",81963253.69837146,TRUE,FALSE,FALSE,0.07145142679334542,0.07145142679334542,0.08006666912068368,0.10953454205454408,0.14601537764109643,0.20300280062118875,0.07145142679334542,0.07145142679334542,0.08006666912068368,0.10953454205454408,0.14601537764109643,0.20300280062118875,10,10,10,0.0772904667147294,0.38073596264790677,0.5453899996951659,0.39441164789687433,0.5395715808814867,0.46042841911851323,0,0.008615242327338263,0.029467872933860398,0.03648083558655235,0.05698742298009232,RP200-RP500,0.05698742298009232,0.2807223486853913,FALSE,gradual increase
