AGS,mun_name,return_period,rp_label,flood_area_m2_obs,flood_share_obs,flood_area_m2_adj,flood_share_adj,normalized_share,exposure_curve_type,monotone_adjustment_applied,low_signal_flag
14524290,"Waldenburg, Stadt",10,RP10,2685023.4866224956,0.10712915988291286,2685023.4866224956,0.10712915988291286,0.8268523283672996,early exposure,FALSE,FALSE
14524290,"Waldenburg, Stadt",20,RP20,2884864.2522474956,0.11510256251362672,2884864.2522474956,0.11510256251362672,0.8883932434404819,early exposure,FALSE,FALSE
14524290,"Waldenburg, Stadt",50,RP50,2894856.4163099956,0.11550123766368076,2894856.416309995,0.11550123766368076,0.8914703279284463,early exposure,FALSE,FALSE
14524290,"Waldenburg, Stadt",100,RP100,3087420.3191062324,0.12318430234937756,3087420.319106233,0.12318430234937756,0.9507703348668769,early exposure,FALSE,FALSE
14524290,"Waldenburg, Stadt",200,RP200,3107404.7839499824,0.12398165810439687,3107404.783949982,0.12398165810439687,0.9569245459453113,early exposure,FALSE,FALSE
14524290,"Waldenburg, Stadt",500,RP500,3247282.9724315293,0.12956262709503377,3247282.9724315293,0.12956262709503377,1,early exposure,FALSE,FALSE
14730310,"Torgau, Stadt",10,RP10,29965238.61548413,0.29165656979838167,29965238.61548413,0.29165656979838167,0.8505635916617624,early exposure,FALSE,FALSE
14730310,"Torgau, Stadt",20,RP20,30955260.68414353,0.3012926165616032,30955260.68414353,0.3012926165616032,0.8786653777796348,early exposure,FALSE,FALSE
14730310,"Torgau, Stadt",50,RP50,31800309.684283964,0.30951761673113815,31800309.68428396,0.30951761673113815,0.9026521019273349,early exposure,FALSE,FALSE
14730310,"Torgau, Stadt",100,RP100,32599432.909869894,0.3172956138234148,32599432.909869898,0.3172956138234148,0.9253352225143833,early exposure,FALSE,FALSE
14730310,"Torgau, Stadt",200,RP200,34573262.7958202,0.33650722302462843,34573262.7958202,0.33650722302462843,0.9813624031641541,early exposure,FALSE,FALSE
14730310,"Torgau, Stadt",500,RP500,35229862.77479908,0.34289801804068126,35229862.77479908,0.34289801804068126,1,early exposure,FALSE,FALSE
12071041,Dissen-Striesow/Dešno-Strjažow,10,RP10,4194629.360899891,0.2111759042511382,4194629.36089989,0.2111759042511382,0.4921318443466197,early exposure,FALSE,FALSE
12071041,Dissen-Striesow/Dešno-Strjažow,20,RP20,5501436.392149891,0.276966259670469,5501436.39214989,0.276966259670469,0.6454520305087225,early exposure,FALSE,FALSE
12071041,Dissen-Striesow/Dešno-Strjažow,50,RP50,6973946.298946839,0.35109881926803344,6973946.298946838,0.35109881926803344,0.8182131862393411,early exposure,FALSE,FALSE
12071041,Dissen-Striesow/Dešno-Strjažow,100,RP100,7293165.473751526,0.3671697023172142,7293165.473751525,0.3671697023172142,0.8556653441610446,early exposure,FALSE,FALSE
12071041,Dissen-Striesow/Dešno-Strjažow,200,RP200,7689348.779195629,0.3871152947827221,7689348.779195627,0.3871152947827221,0.9021472628318559,early exposure,FALSE,FALSE
12071041,Dissen-Striesow/Dešno-Strjažow,500,RP500,8523385.367327536,0.4291043277874174,8523385.367327534,0.4291043277874174,1,early exposure,FALSE,FALSE
12068320,"Neuruppin, Stadt",10,RP10,298.15067797252385,9.753680191157358e-7,298.15067797252385,9.753680191157358e-7,6.662080759865161e-4,delayed jump,FALSE,TRUE
12068320,"Neuruppin, Stadt",20,RP20,298.15067797252385,9.753680191157358e-7,298.15067797252385,9.753680191157358e-7,6.662080759865161e-4,delayed jump,FALSE,TRUE
12068320,"Neuruppin, Stadt",50,RP50,298.15067797252385,9.753680191157358e-7,298.15067797252385,9.753680191157358e-7,6.662080759865161e-4,delayed jump,FALSE,TRUE
12068320,"Neuruppin, Stadt",100,RP100,298.15067797252385,9.753680191157358e-7,298.15067797252385,9.753680191157358e-7,6.662080759865161e-4,delayed jump,FALSE,TRUE
12068320,"Neuruppin, Stadt",200,RP200,1619.562390263634,5.2982249484314835e-6,1619.5623902636341,5.2982249484314835e-6,0.003618859937850254,delayed jump,FALSE,TRUE
12068320,"Neuruppin, Stadt",500,RP500,447533.8692510218,0.001464059134485,447533.8692510212,0.001464059134485,1,delayed jump,FALSE,TRUE
16065046,Mönchpfiffel-Nikolausrieth,10,RP10,2662511.219851827,0.2872183546011327,2662511.219851827,0.2872183546011327,0.9052769389552091,early exposure,FALSE,FALSE
16065046,Mönchpfiffel-Nikolausrieth,20,RP20,2684549.8688023263,0.2895957734987502,2684549.8688023263,0.2895957734987502,0.9127702710064921,early exposure,FALSE,FALSE
16065046,Mönchpfiffel-Nikolausrieth,50,RP50,2714554.2066929513,0.29283249096141745,2714554.2066929513,0.29283249096141745,0.922972006480311,early exposure,FALSE,FALSE
16065046,Mönchpfiffel-Nikolausrieth,100,RP100,2815389.8747647265,0.30371013701704347,2815389.8747647265,0.30371013701704347,0.9572570093936885,early exposure,FALSE,FALSE
16065046,Mönchpfiffel-Nikolausrieth,200,RP200,2891812.112120784,0.3119541846306965,2891812.112120784,0.3119541846306965,0.9832412338303652,early exposure,FALSE,FALSE
16065046,Mönchpfiffel-Nikolausrieth,500,RP500,2941101.3417890253,0.31727125948067875,2941101.3417890253,0.31727125948067875,1,early exposure,FALSE,FALSE
14627050,"Gröditz, Stadt",10,RP10,3608324.356255188,0.1244368373136358,3608324.3562551886,0.1244368373136358,0.5241668727964036,early exposure,FALSE,FALSE
14627050,"Gröditz, Stadt",20,RP20,4157789.180971657,0.1433857061658164,4157789.180971656,0.1433857061658164,0.6039854341139234,early exposure,FALSE,FALSE
14627050,"Gröditz, Stadt",50,RP50,5378323.267336648,0.18547709999449424,5378323.267336648,0.18547709999449424,0.7812875477895677,early exposure,FALSE,FALSE
14627050,"Gröditz, Stadt",100,RP100,6052137.338485814,0.20871428259585167,6052137.338485814,0.20871428259585167,0.8791698276650448,early exposure,FALSE,FALSE
14627050,"Gröditz, Stadt",200,RP200,6624446.768498667,0.2284509715418197,6624446.768498667,0.2284509715418197,0.9623069335856063,early exposure,FALSE,FALSE
14627050,"Gröditz, Stadt",500,RP500,6883922.932796119,0.2373992783057266,6883922.932796119,0.2373992783057266,1,early exposure,FALSE,FALSE
12068324,"Neustadt (Dosse), Stadt",10,RP10,9974946.775885534,0.1318949229822119,9974946.775885537,0.1318949229822119,0.5258541837688357,early exposure,FALSE,FALSE
12068324,"Neustadt (Dosse), Stadt",20,RP20,11975766.073420933,0.15835099468654704,11975766.073420933,0.15835099468654704,0.6313323604662755,early exposure,FALSE,FALSE
12068324,"Neustadt (Dosse), Stadt",50,RP50,15356227.551303988,0.20304954960491528,15356227.551303988,0.20304954960491528,0.8095418137248745,early exposure,FALSE,FALSE
12068324,"Neustadt (Dosse), Stadt",100,RP100,16412857.234739993,0.21702096156817743,16412857.23473999,0.21702096156817743,0.8652446813404098,early exposure,FALSE,FALSE
12068324,"Neustadt (Dosse), Stadt",200,RP200,17965030.716790557,0.23754476048858983,17965030.716790553,0.23754476048858983,0.9470713755383715,early exposure,FALSE,FALSE
12068324,"Neustadt (Dosse), Stadt",500,RP500,18969035.68284721,0.2508203358522533,18969035.682847206,0.2508203358522533,1,early exposure,FALSE,FALSE
12071028,Briesen/Brjazyna,10,RP10,1006808.536308212,0.1101238292624993,1006808.5363082121,0.1101238292624993,0.5052275845565585,early exposure,FALSE,FALSE
12071028,Briesen/Brjazyna,20,RP20,1176402.5470503997,0.12867387250249604,1176402.5470503997,0.12867387250249604,0.590331722346968,early exposure,FALSE,FALSE
12071028,Briesen/Brjazyna,50,RP50,1854171.216883258,0.2028076115248438,1854171.216883258,0.2028076115248438,0.9304434869962697,early exposure,FALSE,FALSE
12071028,Briesen/Brjazyna,100,RP100,1947171.4194418988,0.21297989161446196,1947171.4194418988,0.21297989161446196,0.9771120103624532,early exposure,FALSE,FALSE
12071028,Briesen/Brjazyna,200,RP200,1985376.335083602,0.217158711574156,1985376.335083602,0.217158711574156,0.996283656759714,early exposure,FALSE,FALSE
12071028,Briesen/Brjazyna,500,RP500,1992782.1977335112,0.21796875829564155,1992782.1977335112,0.21796875829564155,1,early exposure,FALSE,FALSE
12069688,Wusterwitz,10,RP10,0,0,0,0,0,gradual increase,FALSE,FALSE
12069688,Wusterwitz,20,RP20,0,0,0,0,0,gradual increase,FALSE,FALSE
12069688,Wusterwitz,50,RP50,1124077.8159256747,0.04712536700544849,1124077.8159256747,0.04712536700544849,0.2729975709982716,gradual increase,FALSE,FALSE
12069688,Wusterwitz,100,RP100,2423434.6411209875,0.10159905769735007,2423434.6411209875,0.10159905769735007,0.5885640310001837,gradual increase,FALSE,FALSE
12069688,Wusterwitz,200,RP200,3981577.114366383,0.1669219693838499,3981577.114366383,0.1669219693838499,0.9669801018795312,gradual increase,FALSE,FALSE
12069688,Wusterwitz,500,RP500,4117537.79279154,0.17262192785498026,4117537.7927915393,0.17262192785498026,1,gradual increase,FALSE,FALSE
01056015,"Elmshorn, Stadt",10,RP10,1366329.2070395334,0.06291093009503837,1366329.2070395334,0.06291093009503837,0.6819409661804009,early exposure,FALSE,FALSE
01056015,"Elmshorn, Stadt",20,RP20,1876521.0445998872,0.08640207912592482,1876521.0445998872,0.08640207912592482,0.9365799747375788,early exposure,FALSE,FALSE
01056015,"Elmshorn, Stadt",50,RP50,1876521.0445998872,0.08640207912592482,1876521.0445998872,0.08640207912592482,0.9365799747375788,early exposure,FALSE,FALSE
