AGS,mun_name,municipality_area_m2,flood_area_rp10_m2,flood_area_rp20_m2,flood_area_rp50_m2,flood_area_rp100_m2,flood_area_rp200_m2,flood_area_rp500_m2,flood_share_rp10,flood_share_rp20,flood_share_rp50,flood_share_rp100,flood_share_rp200,flood_share_rp500,has_inkar_vulnerability_record,vuln_dim_access_adaptive_capacity_z,vuln_dim_demographic_household_z,vuln_dim_deprivation_labour_z,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,vuln_index_main,vuln_index_main_z,vuln_index_pca23_70pct,vuln_index_pca23_70pct_z,vuln_index_pca23_kaiser,vuln_index_pca23_kaiser_z
01061040,Hohenaspe,14162362.029041514,0,0,0,98392.19495639736,98392.19495639736,98392.19495639736,0,0,0,0.00694744243612987,0.00694744243612987,0.00694744243612987,TRUE,-0.8188918965093128,-0.4520545975567161,-1.927689646746909,0.7573297922714884,3.5131630452888216,-0.26521904461829726,-1.4405847895431672,0.6861984041082425,-0.4466690181700494,0.2553298315310057,0.15111583755137706,-0.4347075056506715,0.9380426457283751,-0.4557862329499076,0.26431932273378794,0.013101967595899771,-0.04862826056013328,0.1583181428108487,-0.39405907855455086,-0.4018151231527612,-0.09397747140187467,0.28578016452377786,1.1301344284211905,0.3321976514800451,0.5738217048746947,0.16508112681425513,-1.066212046937646,-1.9962151219328255,-1.2363386668632659,-1.332549706340386,-1.3666618208139845,-1.312165250130673
01061041,Hohenfelde,17820565.163690515,2840682.6351014934,6058535.6955392845,6058535.6955392845,8463677.240353191,9267012.485007731,9267012.485007731,0.15940474440672608,0.33997438576659617,0.33997438576659617,0.47493876667828544,0.520017878214621,0.520017878214621,TRUE,0.4515365939596616,-0.85266446754224,-0.7586978412227606,1.7978066189726114,1.1756886083294538,0.6225403702006777,-0.1606124727459567,0.346576543992291,-0.08767671345002072,-0.08293339707484355,-0.05221013123746,0.5453120923608267,-0.11934534150528658,0.5484853674601077,0.4915117112478522,0.5872859355362918,-0.3229173118249574,-1.6636733020347165,-1.1669296722429015,-0.07832465163485013,-0.13372717618504218,-0.013256442361508563,-0.13138220081365004,-0.4194093355139972,-0.1789942986601261,-0.041665571052388446,-0.3866085716017797,-0.7238277593251163,-0.8178886727209492,-0.8815362164628997,-0.9299969864593302,-0.8929127233768498
01061044,Horst (Holstein),29058228.39814709,4553145.642051838,4553145.642051838,4553145.642051838,6011082.623064851,6328596.865765991,6328596.865765991,0.15669040726316855,0.15669040726316855,0.15669040726316855,0.2068633552157003,0.2177901824933531,0.2177901824933531,TRUE,-0.7248508851066957,0.43684728236939196,-1.1202855174731035,0.7505596877971131,3.5679744198225043,-0.3918104784172594,0.7384172934730516,-0.3670366700833275,0.19442361017478335,-0.05053111478420442,-0.5029747454308737,0.32002290561077157,0.45933474951529935,0.08294678071626375,-0.2972718750810827,-0.7169701156958497,0.15841076780008728,-0.09756779166691278,-0.2290195104638213,-0.13158581458308435,0.10843185155289817,0.19981602733875453,-0.17143806621277013,-0.11527210756660236,0.08120073499120446,-0.11779247401542714,-0.46942970673680245,-0.8788895998351994,-0.9959051770986899,-1.07340584489905,-1.1553353393224883,-1.1092655559836846
12073384,"Lychen, Stadt",112021774.56824146,155229.58991947136,170774.84828509134,170774.84828509134,170774.84828509134,170774.84828509134,170774.84828509134,0.00138570907770175,0.00152447904832161,0.00152447904832161,0.00152447904832161,0.00152447904832161,0.00152447904832161,TRUE,-0.2549006876117099,0.14867316736669584,1.597629874288878,-3.4950175343262933,-1.642885911783989,1.5531387490848336,-0.5651006287054825,0.9917085064533694,0.6612172438248483,-0.764260793986776,-0.8712148063892765,0.6602309151894774,-0.3085678262255193,0.13096358701393254,-0.2960325225643342,-0.10374875200831037,0.8654433926247348,0.11977060601423997,1.0058593693335969,1.2345894481870345,-0.5603433514794353,0.19073761640767894,-0.03268388709262989,-0.31191388823562716,-0.2678970456012588,-0.06552621195724428,0.4971341180146213,0.9307591738996377,1.6480669417707892,1.7763183973350938,1.7534627863811596,1.6835422638178947
16074033,Großpürschütz,3845635.347057186,441341.940001947,478268.03407439415,478268.03407439415,489878.4548256841,499878.2692788091,499878.2692788091,0.11476437575904776,0.12436645467188703,0.12436645467188703,0.12738557107359544,0.12998587337755085,0.12998587337755085,TRUE,-0.32143798649030164,-2.179551799854695,0.3574381014786979,2.974240545166689,1.5064849224946153,-1.1138850589034377,-0.1847213614172347,2.3801432634978723,2.0583603402560056,0.8933469029578227,-0.42157705069424717,0.6629790272686216,-2.7413177336732715,-2.8085564816243633,0.31155991230429114,-1.3734357635682355,-2.2399445105465,2.346369949431065,0.6995138972650733,-0.06278981270455339,1.0651540440299243,0.011282246037882438,-0.27733010395429597,-0.033377035117209145,0.04228311001560377,0.55858977388786,-0.7145172282887663,-1.3377546240339737,-1.8007020973787669,-1.940831517594176,-1.9941330487556137,-1.9146156356045596
15086080,"Jerichow, Stadt",271779195.4181777,47786521.665607266,56282644.09156792,65641819.44841093,70587779.52849671,75069809.44211234,94237116.08967452,0.17582847573038,0.20708959714509295,0.2415262851426505,0.2597247350735792,0.2762161736721786,0.346741463947139,TRUE,0.6953923839770967,-0.009866796065712759,0.7083358386305978,0.14701201018782248,-2.1424696663566114,-0.672561746488376,0.33502269122660744,-0.1680386731816359,0.13534915978948941,-1.1287465952391942,0.33469831050391274,0.21426593193390875,-0.14388959647649996,0.5444834403381033,0.1895064200224169,0.04418386264815806,-0.0024660351753732148,-0.15940963160364108,-0.41332258563503654,-0.187745995292981,0.03388638451196955,-0.2892005199248803,-0.033366956384900434,0.04556934956369266,-0.08829937588198969,-0.0014033240747886918,0.46462047551399394,0.8698855184056046,0.4368792968531414,0.4708769484698425,0.4369069700885328,0.4194850071604399
15083440,Rogätz,24048270.15792652,4675225.993283206,4883605.3277135305,5018818.544737727,5399301.222785094,5549290.948371029,5559290.255988217,0.19441007451183384,0.20307511915171375,0.20869769475221403,0.2245193183263303,0.23075634596286895,0.23117214749668075,TRUE,-0.13099434670435173,-0.07095066976960396,-0.7573787608099665,0.6445621267592762,0.022309120401854284,-1.1399070325874272,-0.27327441151378834,-0.5231079549739748,0.06883156523790383,0.1246815557135394,0.7705369582694442,-0.7385682707435428,-0.08042972135245394,0.37857198124627317,-0.01839631508228137,0.15504583647267386,0.6533893927012858,0.05827521387190244,-0.44321806575208894,-0.8504331757945232,0.26121496229717556,1.1365741983648718,0.030296098138437647,2.5608377364823465,0.0017689008829576574,0.08398866529967772,-0.31977459242797407,-0.5986978658213932,-0.3883200572498732,-0.4185388616593586,-0.383033142723289,-0.3677594353447965
16074065,"Orlamünde, Stadt",7560925.23904848,915895.609096788,934739.6861611672,962866.0949097654,962866.0949097654,972866.3429566404,992866.549011328,0.12113538755371304,0.1236276853173596,0.1273476544824214,0.1273476544824214,0.12867027674500228,0.1313154829099034,TRUE,-0.08664300041048398,-0.2507165513200133,-0.05364274300640299,0.34253780691208463,-0.9959324276599995,-0.7200151995418208,0.2026084203893262,0.15990939165412038,-0.47779381376791724,-0.007452233646009262,1.2129803031494995,-0.9343041265251275,0.2607239564238342,-0.29426088867712086,1.3454041133512809,1.1575071649722162,-0.242411967584533,0.7786056975530287,0.14615055339140678,-0.41250820845628206,-0.7876310022996701,-0.01475663882251578,-0.5398477770221137,1.5782294661339318,-0.2075990395861375,0.02777795218871462,-0.1303340982456334,-0.24401796862892455,-0.001153065661918052,-0.0012427964524303215,0.07076438419500743,0.06794260619081369
09475181,Töpen,20756111.096766166,62887.13455337945,69271.57729499534,145437.91280953062,154722.86433950215,170090.1894930915,211745.9280977289,0.00302981296738083,0.00333740636538546,0.00700699240486287,0.00745432820330241,0.00819470413798237,0.01020161855515984,TRUE,0.8144722324852129,-1.2982812670366832,-1.3704479813671953,2.3753048846771145,-0.24021770874917003,-0.3660445791787989,-0.848720906111685,1.5974032403416516,-0.5419575299288077,0.6799592293596807,0.417608143460723,-1.390189414620365,0.2955357736966849,0.7637735309633119,-2.296865975610839,0.20028678579139475,-0.04378347809371772,-0.8976497426552725,-1.3378423902462557,0.7285017196662196,0.15488748294134846,0.3453058923803748,0.26260793746951133,-0.041189011194542324,-1.0255133396045768,-0.6737527313488317,-0.6180856719728886,-1.1572106773564235,-0.9907180238244346,-1.0678150308627243,-1.0457200846996275,-1.0040212842774066
14730020,"Bad Düben, Stadt",45728575.43340838,11613123.244498206,12130552.04763007,12661886.591703366,12926203.461784976,13014279.926897326,13054253.576311387,0.25395768694805854,0.26527290501964185,0.27689221611860765,0.28267234085628984,0.2845984114648224,0.2854725617971955,TRUE,-1.138776424761921,1.2041031144507617,0.7391180407497541,-3.1388870441387424,-0.1552347581562276,-0.43703222466086633,0.12479686171199401,0.38046616693306845,-1.0881421401748583,0.016385727290458195,-0.11833725570928345,0.7574667296793508,-0.15790119677720546,-1.0300036879215042,0.35624273716667054,-0.29196447211184995,0.013809338898619856,-0.478651818026283,0.6581293205450988,-0.2037126820434706,0.1909635469407254,0.025246485726911745,-0.37322540421785655,0.2305796812528725,0.19052782106302601,-0.3236599855182675,0.2681482434795316,0.502040452545056,1.088042997274435,1.1727137679696236,1.2196845501444282,1.1710487982078592
