inkar_code,state,municipalities_with_value,municipalities_total,state_coverage_pct
a_bev1825,01,1104,1106,99.8191681735986
a_bev1825,02,1,1,100
a_bev1825,03,942,964,97.7178423236515
a_bev1825,04,2,2,100
a_bev1825,05,396,396,100
a_bev1825,06,421,425,99.0588235294118
a_bev1825,07,2301,2301,100
a_bev1825,08,1102,1103,99.909338168631
a_bev1825,09,2056,2228,92.2800718132855
a_bev1825,10,52,52,100
a_bev1825,11,1,1,100
a_bev1825,12,413,413,100
a_bev1825,13,726,726,100
a_bev1825,14,418,418,100
a_bev1825,15,218,218,100
a_bev1825,16,624,624,100
a_bev2530,01,1104,1106,99.8191681735986
a_bev2530,02,1,1,100
a_bev2530,03,942,964,97.7178423236515
a_bev2530,04,2,2,100
a_bev2530,05,396,396,100
a_bev2530,06,421,425,99.0588235294118
a_bev2530,07,2301,2301,100
a_bev2530,08,1102,1103,99.909338168631
a_bev2530,09,2056,2228,92.2800718132855
a_bev2530,10,52,52,100
a_bev2530,11,1,1,100
a_bev2530,12,413,413,100
a_bev2530,13,726,726,100
a_bev2530,14,418,418,100
a_bev2530,15,218,218,100
a_bev2530,16,624,624,100
a_bev3050,01,1104,1106,99.8191681735986
a_bev3050,02,1,1,100
a_bev3050,03,942,964,97.7178423236515
a_bev3050,04,2,2,100
a_bev3050,05,396,396,100
a_bev3050,06,421,425,99.0588235294118
a_bev3050,07,2301,2301,100
a_bev3050,08,1102,1103,99.909338168631
a_bev3050,09,2056,2228,92.2800718132855
a_bev3050,10,52,52,100
a_bev3050,11,1,1,100
a_bev3050,12,413,413,100
a_bev3050,13,726,726,100
a_bev3050,14,418,418,100
a_bev3050,15,218,218,100
a_bev3050,16,624,624,100
a_bev5065,01,1104,1106,99.8191681735986
a_bev5065,02,1,1,100
a_bev5065,03,942,964,97.7178423236515
a_bev5065,04,2,2,100
a_bev5065,05,396,396,100
a_bev5065,06,421,425,99.0588235294118
a_bev5065,07,2301,2301,100
a_bev5065,08,1102,1103,99.909338168631
a_bev5065,09,2056,2228,92.2800718132855
a_bev5065,10,52,52,100
a_bev5065,11,1,1,100
a_bev5065,12,413,413,100
a_bev5065,13,726,726,100
a_bev5065,14,418,418,100
a_bev5065,15,218,218,100
a_bev5065,16,624,624,100
a_bev6575,01,1104,1106,99.8191681735986
a_bev6575,02,1,1,100
a_bev6575,03,942,964,97.7178423236515
a_bev6575,04,2,2,100
a_bev6575,05,396,396,100
a_bev6575,06,421,425,99.0588235294118
a_bev6575,07,2301,2301,100
a_bev6575,08,1102,1103,99.909338168631
a_bev6575,09,2056,2228,92.2800718132855
a_bev6575,10,52,52,100
a_bev6575,11,1,1,100
a_bev6575,12,413,413,100
a_bev6575,13,726,726,100
a_bev6575,14,418,418,100
a_bev6575,15,218,218,100
a_bev6575,16,624,624,100
a_bev65um,01,1104,1106,99.8191681735986
a_bev65um,02,1,1,100
a_bev65um,03,942,964,97.7178423236515
a_bev65um,04,2,2,100
a_bev65um,05,396,396,100
a_bev65um,06,421,425,99.0588235294118
a_bev65um,07,2301,2301,100
a_bev65um,08,1102,1103,99.909338168631
a_bev65um,09,2056,2228,92.2800718132855
a_bev65um,10,52,52,100
a_bev65um,11,1,1,100
a_bev65um,12,413,413,100
a_bev65um,13,726,726,100
a_bev65um,14,418,418,100
a_bev65um,15,218,218,100
a_bev65um,16,624,624,100
a_bev75um,01,1104,1106,99.8191681735986
a_bev75um,02,1,1,100
a_bev75um,03,942,964,97.7178423236515
a_bev75um,04,2,2,100
a_bev75um,05,396,396,100
a_bev75um,06,421,425,99.0588235294118
a_bev75um,07,2301,2301,100
a_bev75um,08,1102,1103,99.909338168631
a_bev75um,09,2056,2228,92.2800718132855
a_bev75um,10,52,52,100
a_bev75um,11,1,1,100
a_bev75um,12,413,413,100
a_bev75um,13,726,726,100
a_bev75um,14,418,418,100
a_bev75um,15,218,218,100
a_bev75um,16,624,624,100
a_hh_kind,01,1104,1106,99.8191681735986
a_hh_kind,02,1,1,100
a_hh_kind,03,941,964,97.6141078838174
a_hh_kind,04,2,2,100
a_hh_kind,05,396,396,100
a_hh_kind,06,421,425,99.0588235294118
a_hh_kind,07,2301,2301,100
a_hh_kind,08,1101,1103,99.818676337262
a_hh_kind,09,2056,2228,92.2800718132855
a_hh_kind,10,52,52,100
a_hh_kind,11,1,1,100
a_hh_kind,12,413,413,100
a_hh_kind,13,726,726,100
a_hh_kind,14,418,418,100
a_hh_kind,15,218,218,100
a_hh_kind,16,624,624,100
a_hheink_hoch,01,1104,1106,99.8191681735986
a_hheink_hoch,02,1,1,100
a_hheink_hoch,03,941,964,97.6141078838174
a_hheink_hoch,04,2,2,100
a_hheink_hoch,05,396,396,100
a_hheink_hoch,06,421,425,99.0588235294118
a_hheink_hoch,07,2301,2301,100
a_hheink_hoch,08,1101,1103,99.818676337262
a_hheink_hoch,09,2056,2228,92.2800718132855
a_hheink_hoch,10,52,52,100
a_hheink_hoch,11,1,1,100
a_hheink_hoch,12,413,413,100
a_hheink_hoch,13,726,726,100
a_hheink_hoch,14,418,418,100
a_hheink_hoch,15,218,218,100
a_hheink_hoch,16,624,624,100
a_hheink_mittel,01,1104,1106,99.8191681735986
a_hheink_mittel,02,1,1,100
a_hheink_mittel,03,941,964,97.6141078838174
a_hheink_mittel,04,2,2,100
a_hheink_mittel,05,396,396,100
a_hheink_mittel,06,421,425,99.0588235294118
a_hheink_mittel,07,2301,2301,100
a_hheink_mittel,08,1101,1103,99.818676337262
a_hheink_mittel,09,2056,2228,92.2800718132855
a_hheink_mittel,10,52,52,100
a_hheink_mittel,11,1,1,100
a_hheink_mittel,12,413,413,100
a_hheink_mittel,13,726,726,100
a_hheink_mittel,14,418,418,100
a_hheink_mittel,15,218,218,100
a_hheink_mittel,16,624,624,100
a_hheink_niedrig,01,1104,1106,99.8191681735986
a_hheink_niedrig,02,1,1,100
a_hheink_niedrig,03,941,964,97.6141078838174
a_hheink_niedrig,04,2,2,100
a_hheink_niedrig,05,396,396,100
a_hheink_niedrig,06,421,425,99.0588235294118
a_hheink_niedrig,07,2301,2301,100
a_hheink_niedrig,08,1101,1103,99.818676337262
a_hheink_niedrig,09,2056,2228,92.2800718132855
a_hheink_niedrig,10,52,52,100
a_hheink_niedrig,11,1,1,100
a_hheink_niedrig,12,413,413,100
a_hheink_niedrig,13,726,726,100
a_hheink_niedrig,14,418,418,100
a_hheink_niedrig,15,218,218,100
a_hheink_niedrig,16,624,624,100
d_steuereinnahme,01,1104,1106,99.8191681735986
d_steuereinnahme,02,1,1,100
d_steuereinnahme,03,942,964,97.7178423236515
d_steuereinnahme,04,2,2,100
d_steuereinnahme,05,396,396,100
d_steuereinnahme,06,421,425,99.0588235294118
d_steuereinnahme,07,2301,2301,100
d_steuereinnahme,08,1102,1103,99.909338168631
d_steuereinnahme,09,2056,2228,92.2800718132855
d_steuereinnahme,10,52,52,100
d_steuereinnahme,11,1,1,100
d_steuereinnahme,12,413,413,100
d_steuereinnahme,13,726,726,100
d_steuereinnahme,14,418,418,100
d_steuereinnahme,15,218,218,100
d_steuereinnahme,16,624,624,100
i_saldo_nat,01,1104,1106,99.8191681735986
i_saldo_nat,02,1,1,100
i_saldo_nat,03,942,964,97.7178423236515
i_saldo_nat,04,2,2,100
i_saldo_nat,05,396,396,100
i_saldo_nat,06,421,425,99.0588235294118
i_saldo_nat,07,2301,2301,100
i_saldo_nat,08,1102,1103,99.909338168631
i_saldo_nat,09,2056,2228,92.2800718132855
i_saldo_nat,10,52,52,100
i_saldo_nat,11,1,1,100
i_saldo_nat,12,413,413,100
i_saldo_nat,13,726,726,100
i_saldo_nat,14,418,418,100
i_saldo_nat,15,218,218,100
i_saldo_nat,16,624,624,100
i_wans,01,1104,1106,99.8191681735986
i_wans,02,1,1,100
i_wans,03,942,964,97.7178423236515
i_wans,04,2,2,100
i_wans,05,396,396,100
i_wans,06,421,425,99.0588235294118
i_wans,07,2301,2301,100
i_wans,08,1102,1103,99.909338168631
i_wans,09,2056,2228,92.2800718132855
i_wans,10,52,52,100
i_wans,11,1,1,100
i_wans,12,413,413,100
i_wans,13,726,726,100
i_wans,14,418,418,100
i_wans,15,218,218,100
i_wans,16,624,624,100
m_G02_SUP_DIST,01,1103,1106,99.7287522603978
m_G02_SUP_DIST,02,1,1,100
m_G02_SUP_DIST,03,955,964,99.0663900414938
m_G02_SUP_DIST,04,2,2,100
m_G02_SUP_DIST,05,396,396,100
m_G02_SUP_DIST,06,425,425,100
m_G02_SUP_DIST,07,2301,2301,100
m_G02_SUP_DIST,08,1102,1103,99.909338168631
m_G02_SUP_DIST,09,2122,2228,95.2423698384201
m_G02_SUP_DIST,10,52,52,100
m_G02_SUP_DIST,11,1,1,100
m_G02_SUP_DIST,12,413,413,100
m_G02_SUP_DIST,13,726,726,100
m_G02_SUP_DIST,14,418,418,100
m_G02_SUP_DIST,15,218,218,100
m_G02_SUP_DIST,16,624,624,100
m_OEV20_DIST,01,1098,1106,99.2766726943942
m_OEV20_DIST,02,1,1,100
m_OEV20_DIST,03,950,964,98.5477178423237
m_OEV20_DIST,04,2,2,100
m_OEV20_DIST,05,396,396,100
m_OEV20_DIST,06,425,425,100
m_OEV20_DIST,07,2301,2301,100
m_OEV20_DIST,08,1102,1103,99.909338168631
m_OEV20_DIST,09,2121,2228,95.197486535009
m_OEV20_DIST,10,52,52,100
