inkar_code,municipalities_with_value,municipalities_total,coverage_pct,missing_municipalities,states_with_any_data,present_in_all_16_states,full_coverage_all_16_states,min_state_coverage_pct,mean_state_coverage_pct,max_state_coverage_pct,project_name,analysis_name,official_short,official_name,main_dimension,sub_dimension
q_abhg_jung,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,youth_dependency,exposure_youth_dependency,Abhängigenquote Junge,Einwohner unter 15 Jahren je 100 Einwohner im erwerbsfähigen Alter,Bevölkerung,Bevölkerung – Bevölkerungsstruktur
m_OEV20_DIST,10847,10978,98.8067043177264,131,16,TRUE,FALSE,95.197486535009,99.5495921370954,100,dist_public_transport_m,exposure_dist_public_transport_m,Entfernung zur ÖV Haltestelle,Einwohnergewichtete Entfernung zur nächsten Haltestelle des ÖV mit mind. 20 Abfahrten am Tag,Erreichbarkeit,(no sub-dimension)
m_Q07_HA_DIST,10856,10978,98.8886864638368,122,16,TRUE,FALSE,95.197486535009,99.6075709486956,100,dist_gp_m,exposure_dist_gp_m,Entfernung zum Hausarzt,Einwohnergewichtete Entfernung zur nächsten Hausarztpraxis,Erreichbarkeit,(no sub-dimension)
m_Q01_APO_DIST,10857,10978,98.8977955911824,121,16,TRUE,FALSE,95.197486535009,99.6102641224187,100,dist_pharmacy_m,exposure_dist_pharmacy_m,Entfernung zur Apotheke,Einwohnergewichtete Entfernung zur nächsten Apotheke,Erreichbarkeit,(no sub-dimension)
m_P01_PRIM_DIST,10859,10978,98.9160138458736,119,16,TRUE,FALSE,95.197486535009,99.6245239324208,100,dist_primary_school_m,exposure_dist_primary_school_m,Entfernung zur Grundschule,Einwohnergewichtete Entfernung zur nächsten Grundschule,Erreichbarkeit,(no sub-dimension)
m_G02_SUP_DIST,10859,10978,98.9160138458736,119,16,TRUE,FALSE,95.2423698384201,99.6216781443089,100,dist_supermarket_m,exposure_dist_supermarket_m,Entfernung zum Supermarkt/Discounter,Einwohnergewichtete Entfernung zum nächsten Supermarkt oder Discounter,Erreichbarkeit,(no sub-dimension)
a_bb_4G,10964,10978,99.8724722171616,14,16,TRUE,FALSE,99.5192307692308,99.9361284249143,100,share_4g,exposure_share_4g,Bandbreitenverfugbarkeit mindestens 4G,Anteil der Haushalte mit einer 4G-Mobilfunkversorgung in %,Erreichbarkeit,Digitale Erreichbarkeit
q_bevsva_qkm,10978,10978,100,0,16,TRUE,TRUE,100,100,100,employment_density_per_km2,exposure_employment_density_per_km2,Einwohner-Arbeitsplatz-Dichte,Einwohner und Beschäftigte je km²,Siedlungsstruktur,(no sub-dimension)
q_bev_fl,10978,10978,100,0,16,TRUE,TRUE,100,100,100,pop_density_per_km2,exposure_pop_density_per_km2,Einwohnerdichte,Einwohner je km²,Siedlungsstruktur,(no sub-dimension)
a_bb_1000Mbits,10978,10978,100,0,16,TRUE,TRUE,100,100,100,share_bb_1000mbit,exposure_share_bb_1000mbit,Bandbreitenverfügbarkeit mindestens 1.000 Mbit/s,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 1.000 Mbit/s in %,Erreichbarkeit,(no sub-dimension)
a_bb_100Mbits,10978,10978,100,0,16,TRUE,TRUE,100,100,100,share_bb_100mbit,exposure_share_bb_100mbit,Bandbreitenverfügbarkeit mindestens 100 Mbit/s,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 100 Mbit/s in %,Erreichbarkeit,(no sub-dimension)
a_bb_50Mbits,10978,10978,100,0,16,TRUE,TRUE,100,100,100,share_bb_50mbit,exposure_share_bb_50mbit,Bandbreitenverfügbarkeit mindestens 50 Mbit/s,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 50 Mbit/s in %,Erreichbarkeit,(no sub-dimension)
