inkar_code,project_name,analysis_name,municipalities_with_value,municipalities_total,coverage_pct,missing_municipalities,states_with_any_data,present_in_all_16_states,full_coverage_all_16_states,min_state_coverage_pct,mean_state_coverage_pct,max_state_coverage_pct,official_short,official_name,main_dimension,sub_dimension
q_HH1,share_single_households,exposure_share_single_households,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,Einpersonenhaushalte,Anteil der Einpersonenhaushalte an den Haushalten insgesamt in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur
a_hh_kind,share_households_with_children,exposure_share_households_with_children,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,Haushalte mit Kindern,Anteil der Haushalte mit Kindern an allen Haushalten in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur
a_hheink_hoch,share_hh_income_high,exposure_share_hh_income_high,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,Haushalte mit hohem Einkommen,Anteil der Haushalte mit einem Nettoeinkommen von über 3.600€ pro Monat an den Haushalten insgesamt in %,Privateinkommen und private Schulden,(no sub-dimension)
a_hheink_mittel,share_hh_income_medium,exposure_share_hh_income_medium,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,Haushalte mit mittlerem Einkommen,Anteil der Haushalte mit einem Nettoeinkommen zwischen 1.500€ und 3.600€ pro Monat an den Haushalten insgesamt in %,Privateinkommen und private Schulden,(no sub-dimension)
a_hheink_niedrig,share_hh_income_low,exposure_share_hh_income_low,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,Haushalte mit niedrigem Einkommen,Anteil der Haushalte mit einem Nettoeinkommen von unter 1.500€ pro Monat an den Haushalten insgesamt in %,Privateinkommen und private Schulden,(no sub-dimension)
q_stud,students_total_per_1000,exposure_students_total_per_1000,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,Studierende,Studierende an wissenschaftlichen Hochschulen und Fachhochschulen je 1.000 Einwohner,Bildung,Bildung – Ausbildungsangebot
q_stud_1825,students_18_25_per_1000,exposure_students_18_25_per_1000,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,Studierende je 100 Einwohner 18 bis 25 Jahre,Studierende je 100 Einwohner von 18 bis unter 25 Jahren in %,Bildung,Bildung – Ausbildungsangebot
q_stud_fh,students_fh_per_1000,exposure_students_fh_per_1000,10776,10978,98.1599562761888,202,16,TRUE,FALSE,92.2800718132855,99.2925943480465,100,Studierende an FH,Studierende an Fachhochschulen je 1.000 Einwohner,Bildung,Bildung – Ausbildungsangebot
q_allgemeinärzte_bev,gp_general_per_1000,exposure_gp_general_per_1000,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,Allgemeinärzte,Allgemeinärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension)
q_hausarzt_bev,gp_primary_per_1000,exposure_gp_primary_per_1000,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,Hausärzte,Hausärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension)
q_internist_bev,internists_per_1000,exposure_internists_per_1000,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,Internisten,Internisten je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension)
q_kinderarzt_kinder,pediatricians_per_1000_children,exposure_pediatricians_per_1000_children,10774,10978,98.1417380214975,204,16,TRUE,FALSE,92.2800718132855,99.2812769890109,100,Kinderärzte,Kinderärzte je 10.000 Kinder bis zu 15 Jahren,Medizinische Versorgung,(no sub-dimension)
q_ärzte_bev,doctors_total_per_1000,exposure_doctors_total_per_1000,10775,10978,98.1508471488431,203,16,TRUE,FALSE,92.2800718132855,99.286927983586,100,Ärzte,Ärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension)
a_bb_1000Mbits,share_bb_1000mbit,exposure_share_bb_1000mbit,10978,10978,100,0,16,TRUE,TRUE,100,100,100,Bandbreitenverfügbarkeit mindestens 1.000 Mbit/s,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 1.000 Mbit/s in %,Erreichbarkeit,(no sub-dimension)
a_bb_100Mbits,share_bb_100mbit,exposure_share_bb_100mbit,10978,10978,100,0,16,TRUE,TRUE,100,100,100,Bandbreitenverfügbarkeit mindestens 100 Mbit/s,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 100 Mbit/s in %,Erreichbarkeit,(no sub-dimension)
a_bb_50Mbits,share_bb_50mbit,exposure_share_bb_50mbit,10978,10978,100,0,16,TRUE,TRUE,100,100,100,Bandbreitenverfügbarkeit mindestens 50 Mbit/s,Anteil der Haushalte mit einer Bandbreitenverfügbarkeit (leitungsgebunden) mit mindestens 50 Mbit/s in %,Erreichbarkeit,(no sub-dimension)
a_bb_4G,share_4g,exposure_share_4g,10964,10978,99.8724722171616,14,16,TRUE,FALSE,99.5192307692308,99.9361284249143,100,Bandbreitenverfugbarkeit mindestens 4G,Anteil der Haushalte mit einer 4G-Mobilfunkversorgung in %,Erreichbarkeit,Digitale Erreichbarkeit
m_G02_SUP_DIST,dist_supermarket_m,exposure_dist_supermarket_m,10859,10978,98.9160138458736,119,16,TRUE,FALSE,95.2423698384201,99.6216781443089,100,Entfernung zum Supermarkt/Discounter,Einwohnergewichtete Entfernung zum nächsten Supermarkt oder Discounter,Erreichbarkeit,(no sub-dimension)
m_Q01_APO_DIST,dist_pharmacy_m,exposure_dist_pharmacy_m,10857,10978,98.8977955911824,121,16,TRUE,FALSE,95.197486535009,99.6102641224187,100,Entfernung zur Apotheke,Einwohnergewichtete Entfernung zur nächsten Apotheke,Erreichbarkeit,(no sub-dimension)
m_Q07_HA_DIST,dist_gp_m,exposure_dist_gp_m,10856,10978,98.8886864638368,122,16,TRUE,FALSE,95.197486535009,99.6075709486956,100,Entfernung zum Hausarzt,Einwohnergewichtete Entfernung zur nächsten Hausarztpraxis,Erreichbarkeit,(no sub-dimension)
m_OEV20_DIST,dist_public_transport_m,exposure_dist_public_transport_m,10847,10978,98.8067043177264,131,16,TRUE,FALSE,95.197486535009,99.5495921370954,100,Entfernung zur ÖV Haltestelle,Einwohnergewichtete Entfernung zur nächsten Haltestelle des ÖV mit mind. 20 Abfahrten am Tag,Erreichbarkeit,(no sub-dimension)
m_P01_PRIM_DIST,dist_primary_school_m,exposure_dist_primary_school_m,10859,10978,98.9160138458736,119,16,TRUE,FALSE,95.197486535009,99.6245239324208,100,Entfernung zur Grundschule,Einwohnergewichtete Entfernung zur nächsten Grundschule,Erreichbarkeit,(no sub-dimension)
q_bev_fl,pop_density_per_km2,exposure_pop_density_per_km2,10978,10978,100,0,16,TRUE,TRUE,100,100,100,Einwohnerdichte,Einwohner je km²,Siedlungsstruktur,(no sub-dimension)
q_bevsva_qkm,employment_density_per_km2,exposure_employment_density_per_km2,10978,10978,100,0,16,TRUE,TRUE,100,100,100,Einwohner-Arbeitsplatz-Dichte,Einwohner und Beschäftigte je km²,Siedlungsstruktur,(no sub-dimension)
