AGS,municipality_name,protection_available,loss_portfolio_status,river_context_class,distance_to_elbe_m,intersects_elbe_main,near_elbe_1km,near_elbe_5km,intersects_major_wfd_river,intersects_any_wfd_river,major_wfd_names,any_wfd_names,flood_share_rp10,flood_share_rp20,flood_share_rp50,flood_share_rp100,flood_share_rp200,flood_share_rp500,protection_return_period,annual_loss_probability,n_nonzero_years
14628310,"Rathen, Kurort",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe,Elbe/Labe,0.27736575274610165,0.2827083704259492,0.3040786351036272,0.3149103809201486,0.32142099855538747,0.3294916820982558,NA,NA,NA
14628320,Rathmannsdorf,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe,Elbe/Labe; Lachsbach/Polenz/Langburkersdorfer Bach; Sebnitz/VilÃ©movskÃ½ potok,0.02125892254815973,0.02268607968065514,0.02506942473554776,0.03474433985617628,0.03951103416547551,0.04219857344049296,NA,NA,NA
14628330,Reinhardtsdorf-Schöna,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe,Elbe/Labe; Krippenbach/Napajedla,0.01450271530048105,0.01535086882157984,0.01535086882157984,0.01535086882157984,0.01535086882157984,0.01566547140488926,NA,NA,NA
14628370,"Stadt Wehlen, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe,Elbe/Labe,0.08388690415778709,0.08730606838495927,0.08912795138895091,0.09365098316860428,0.0972215078076917,0.0990433372269468,NA,NA,NA
14730010,Arzberg,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe,Elbe/Labe; Stehlaer Graben,0.7422393695087031,0.800348968310322,0.811323421533816,0.814556607838604,0.8178400336015414,0.824306361387925,NA,NA,NA
14730030,Beilrode,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe,Elbe/Labe; Landlache; Neugraben; Mollgraben; ZÃ¼llsdorfer SchÃ¶pfwerksgraben,0.44568035976676346,0.49640648685853567,0.5305650713487445,0.5422460913976868,0.5484396372594224,0.5608787574380225,NA,NA,NA
14730045,"Belgern-Schildau, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe,Elbe/Labe; Dahle; Heidelbach; Tauschke,0.12539235718124686,0.13011876027956773,0.13139920832895663,0.13182575657105394,0.13301799824700702,0.1356562829277107,NA,NA,NA
14730050,Cavertitz,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe,Elbe/Labe; Dahle; Tauschke; Luppa,0.07243114575298415,0.07655276125813415,0.07710050329080544,0.07710050329080544,0.07847143236634821,0.07876033901073431,NA,NA,NA
14730090,"Dommitzsch, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Dommitzscher Grenzbach; Elbe; Schahmühlenbach; GrÃ¼ner MÃ¼hlgraben,0.1909505847171836,0.19887608403731705,0.21194155854177263,0.21688103166586273,0.2185107238299511,0.22031198094666565,NA,NA,NA
14730120,Elsnig,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe; Elbe,Elbe/Labe; Elbe; GrÃ¼ner MÃ¼hlgraben; Weinske/Schwarzer Graben/Ellergraben/Schwarzer Graben/Schwarzer Bach,0.4972197911268159,0.5179916848926117,0.5355289917341455,0.5532194836755071,0.5597013148567683,0.5684162593977755,NA,NA,NA
