AGS,municipality_name,protection_return_period,annual_loss_probability,n_nonzero_years
15089030,Bernburg (Saale),4.0290088638195005,0.2482,1241
15089041,Bördeaue,1.1566042100393246,0.8646,4323
15089043,Börde-Hakel,1.154201292705448,0.8664,4332
15089055,Calbe (Saale),833.3333333333334,0.0012,6
15089075,Egeln,1.1312217194570136,0.884,4420
15089165,Güsten,32.05128205128205,0.0312,156
15089175,Hecklingen,1.3989927252378287,0.7148,3574
15089195,Könnern,18.181818181818183,0.055,275
15089235,Nienburg (Saale),1.1584800741427248,0.8632,4316
15089245,Plötzkau,72.46376811594203,0.0138,69
15089305,Schönebeck (Elbe),87.71929824561404,0.0114,57
15089310,Staßfurt,1.2966804979253113,0.7712,3856
15089365,Wolmirsleben,1.127141568981064,0.8872,4436
15090003,Aland,6.016847172081829,0.1662,831
15090007,Altmärkische Höhe,131.57894736842104,0.0076,38
15090008,Altmärkische Wische,16.233766233766232,0.0616,308
15090070,Bismark (Altmark),11.135857461024498,0.0898,449
15090225,Havelberg,250,0.004,20
15090245,Hohenberg-Krusemark,5000,2e-4,1
15090270,Iden,116.27906976744184,0.0086,43
15090285,Kamern,2500,4e-4,2
15090310,Klietz,45.87155963302752,0.0218,109
15090415,Osterburg (Altmark),10.989010989010987,0.091,455
15090485,Schollene,500,0.002,10
15090500,Schönhausen (Elbe),6.915629322268327,0.1446,723
15090520,Seehausen (Altmark),8.532423208191126,0.1172,586
15090535,Stendal,500,0.002,10
15090546,Tangerhütte,9.84251968503937,0.1016,508
15090550,Tangermünde,10.20408163265306,0.098,490
15090610,Werben (Elbe),125,0.008,40
15090631,Wust-Fischbeck,5.219206680584551,0.1916,958
15090635,Zehrental,166.66666666666666,0.006,30
15091010,Annaburg,147.05882352941177,0.0068,34
15091060,Coswig (Anhalt),128.2051282051282,0.0078,39
15091145,Jessen (Elster),71.42857142857143,0.014,70
15091241,Oranienbaum-Wörlitz,84.7457627118644,0.0118,59
15091375,Wittenberg,106.38297872340424,0.0094,47
15091391,Zahna-Elster,2500,4e-4,2
16051000,Erfurt,17.421602787456447,0.0574,287
16052000,Gera,29.761904761904763,0.0336,168
16053000,Jena,40.65040650406504,0.0246,123
16055000,Weimar,5000,2e-4,1
16062008,Görsbach,8.561643835616438,0.1168,584
16062064,Heringen/Helme,9.157509157509155,0.1092,546
16064003,Bad Langensalza,5000,2e-4,1
16064019,Großvargula,500,0.002,10
16065003,Bad Frankenhausen/Kyffhäuser,5.524861878453039,0.181,905
16065016,Etzleben,8.403361344537815,0.119,595
16065019,Gehofen,26.041666666666668,0.0384,192
16065042,Kalbsrieth,13.227513227513228,0.0756,378
16065046,Mönchpfiffel-Nikolausrieth,15.873015873015872,0.063,315
16065056,Reinsdorf,22.52252252252252,0.0444,222
16065086,Artern,8.503401360544217,0.1176,588
16065087,Roßleben-Wiehe,37.59398496240601,0.0266,133
16065088,An der Schmücke,4.739336492890995,0.211,1055
16068002,Andisleben,22.123893805309734,0.0452,226
16068005,Büchel,13.404825737265416,0.0746,373
16068009,Elxleben,22.123893805309734,0.0452,226
16068014,Gebesee,31.25,0.032,160
16068015,Griefstedt,454.54545454545456,0.0022,11
16068044,Riethnordhausen,49.01960784313726,0.0204,102
16068045,Ringleben,22.727272727272727,0.044,220
16068049,Schwerstedt,5000,2e-4,1
16068051,Sömmerda,13.440860215053764,0.0744,372
16068053,Straußfurt,27.47252747252747,0.0364,182
16068057,Walschleben,20.5761316872428,0.0486,243
16068058,Weißensee,22.727272727272727,0.044,220
16068059,Werningshausen,27.027027027027028,0.037,185
16068062,Wundersleben,24.50980392156863,0.0408,204
16068064,Kindelbrück,5.980861244019139,0.1672,836
16071001,Apolda,454.54545454545456,0.0022,11
16071004,Bad Sulza,36.76470588235294,0.0272,136
16071022,Großheringen,108.69565217391305,0.0092,46
16071056,Mellingen,5000,2e-4,1
16071101,Ilmtal-Weinstraße,50.505050505050505,0.0198,99
16073076,Rudolstadt,135.13513513513513,0.0074,37
16073109,Uhlstädt-Kirchhasel,5000,2e-4,1
16074011,Dornburg-Camburg,21.1864406779661,0.0472,236
16074012,Crossen an der Elster,714.2857142857143,0.0014,7
16074026,Golmsdorf,1666.6666666666667,6e-4,3
16074063,Neuengönna,833.3333333333334,0.0012,6
16074092,Silbitz,416.6666666666667,0.0024,12
16074112,Wichmar,2500,4e-4,2
16076003,Bad Köstritz,138.88888888888889,0.0072,36
16076012,Caaschwitz,208.33333333333337,0.0048,24
16076022,Greiz,7.763975155279503,0.1288,644
16077048,Treben,13.020833333333334,0.0768,384
