AGS,municipality_name
12069028,Bensdorf
12069216,Golzow
12069249,Groß Kreutz (Havel)
12069270,"Havelsee, Stadt"
12069306,Kloster Lehnin
12069454,Nuthetal
12069460,Päwesin
12069541,Roskow
12069590,Schwielowsee
12069648,Wenzlow
12069656,"Werder (Havel), Stadt"
12069688,Wusterwitz
12069696,"Ziesar, Stadt"
12070125,Groß Pankow (Prignitz)
12070296,"Perleberg, Stadt"
12070302,Plattenburg
12070416,Weisen
12071028,Briesen/Brjazyna
12071032,Burg (Spreewald)/Bórkowy (Błota)
12071041,Dissen-Striesow/Dešno-Strjažow
12071052,Drachhausen/Hochoza
12071060,Drehnow/Drjenow
12071076,"Forst (Lausitz)/Baršć (Łužyca), Stadt"
12071164,Guhrow/Góry
12071176,Heinersbrück/Móst
12071301,Neuhausen/Spree / Kopańce/Sprjewja
12071341,Schmogrow-Fehrow/Smogorjow-Prjawoz
12071372,"Spremberg/Grodk, Stadt"
12071412,Werben/Wjerbno
12072232,"Luckenwalde, Stadt"
12072240,"Ludwigsfelde, Stadt"
12072312,Nuthe-Urstromtal
12072426,"Trebbin, Stadt"
12073384,"Lychen, Stadt"
12073572,"Templin, Stadt"
13071001,Alt Schwerin
13071036,Fünfseen
13071043,Göhren-Lebbin
13071045,Gotthun
13071069,Jabel
13071077,Klink
13071093,"Malchow, Inselstadt"
13071110,"Neustrelitz, Residenzstadt"
13071119,Priepert
13071137,Sietow
13071138,Silz
13071156,"Waren (Müritz), Stadt"
13071159,"Wesenberg, Stadt"
13071176,Südmüritz
13076006,Barkhagen
13076008,Belsch
13076009,Bengerstorf
13076010,Besitz
13076012,Blievenstorf
13076014,"Boizenburg/ Elbe, Stadt"
13076016,Brahlstorf
13076017,Brenz
13076018,Bresegard bei Eldena
13076019,Bresegard bei Picher
13076030,Dersenow
13076037,Eldena
13076040,Gallin-Kuppentin
13076046,Göhlen
13076050,"Grabow, Stadt"
13076053,Grebs-Niendorf
13076058,Groß Laasch
13076067,Karenz
13076069,Karstädt
13076075,Kreien
13076079,Kuhstorf
13076085,Lewitzrand
13076088,"Lübtheen, Stadt"
13076089,"Lübz, Stadt"
13076090,"Ludwigslust, Stadt"
13076093,Malk Göhren
13076094,Malliß
13076097,Milow
13076100,Muchow
13076102,Neu Gülze
13076105,"Neustadt-Glewe, Stadt"
13076106,Nostorf
13076108,"Parchim, Stadt"
13076109,Passow
13076114,"Plau am See, Stadt"
13076119,Redefin
13076120,Rom
13076122,Schwanheide
13076125,Siggelkow
13076126,Spornitz
13076136,Teldau
13076138,Tessin b. Boizenburg
13076140,Tramm
13076145,Warlitz
13076151,Werder
13076156,Wöbbelin
13076161,Zierzow
14521150,Drebach
14521220,Gornau/Erzgeb.
14521240,Großolbersdorf
14521495,"Pockau-Lengefeld, Stadt"
14521670,"Wolkenstein, Stadt"
14521690,"Zschopau, Stadt, Motorradstadt"
14522020,"Augustusburg, Stadt"
14522060,"Burgstädt, Stadt"
14522210,"Großschirma, Stadt"
14522290,Königshain-Wiederau
14522300,Kriebstein
14522320,Leubsdorf
14522330,Lichtenau
14522360,"Mittweida, Stadt, Hochschulstadt"
14522420,Niederwiesa
14522440,"Oederan, Stadt"
14522480,Reinsberg
14522500,Rossau
14522510,"Roßwein, Stadt"
14522540,Striegistal
14522570,"Waldheim, Stadt"
14522600,Zettlitz
14523320,"Plauen, Stadt"
14523330,Pöhl
14523450,Weischlitz
14524090,"Hartenstein, Stadt"
14524150,Langenweißbach
14524180,"Limbach-Oberfrohna, Stadt"
14524310,"Wildenfels, Stadt"
14625160,Großdubrau / Wulka Dubrawa
14625310,"Lauta, Stadt"
14625330,Lohsa / Łaz
14625340,Malschwitz / Malešecy
14625570,Spreetal / Sprjewiny Doł
14626060,Boxberg/O.L. / Hamor
14626600,"Weißwasser/O.L., Stadt / Běła Woda"
14627010,"Coswig, Stadt"
14627020,Diera-Zehren
14627030,Ebersbach
14627100,Klipphausen
14627170,Niederau
14627180,"Nossen, Stadt"
14627310,Weinböhla
14628210,"Königstein/Sächs. Schw., Stadt"
14628310,"Rathen, Kurort"
14628320,Rathmannsdorf
14628330,Reinhardtsdorf-Schöna
14628370,"Stadt Wehlen, Stadt"
14730010,Arzberg
14730030,Beilrode
14730045,"Belgern-Schildau, Stadt"
14730050,Cavertitz
14730070,"Delitzsch, Stadt"
14730090,"Dommitzsch, Stadt"
14730120,Elsnig
14730310,"Torgau, Stadt"
15003000,"Magdeburg, Landeshauptstadt"
15082256,Osternienburger Land
15083040,Barleben
15083115,Bülstringen
15083120,Burgstall
15083125,Calvörde
15083270,"Haldensleben, Stadt"
15083390,Niedere Börde
15083411,"Oebisfelde-Weferlingen, Stadt"
15083557,Westheide
15084150,Gleina
15084170,Goseck
15084315,"Lützen, Stadt"
15084445,Schönburg
15086040,"Genthin, Stadt"
15088305,"Querfurt, Stadt"
15089015,"Aschersleben, Stadt"
15089042,Bördeland
15089130,Giersleben
15089185,Ilberstedt
15090010,"Arneburg, Stadt"
15090135,Eichstedt (Altmark)
15090180,Goldbeck
15090220,Hassel
15090435,Rochau
15090445,"Sandau (Elbe), Stadt"
15091020,"Bad Schmiedeberg, Stadt"
15091110,"Gräfenhainichen, Stadt"
15091160,"Kemberg, Stadt"
16064004,"Bad Tennstedt, Stadt"
16064005,Ballhausen
16064022,Herbsleben
16065085,Kyffhäuserland
16067067,Tonna
16071003,"Bad Berka, Stadt"
16071009,Buchfart
16071015,Eberstedt
16071031,Hetschburg
16071064,Niedertrebra
16071069,Obertrebra
16071071,Oettern
16073002,Altenbeuthen
16073035,Hohenwarte
16073038,Kaulsdorf
16073077,"Saalfeld/Saale, Stadt"
16073107,Drognitz
16073111,Unterwellenborn
16074021,Freienorla
16074031,Großeutersdorf
16074033,Großpürschütz
16074044,"Kahla, Stadt"
16074048,Kleineutersdorf
16074065,"Orlamünde, Stadt"
16074079,Rothenstein
16074087,Schöps
16074095,Sulza
16075023,Eßbach
16075035,Gössitz
16075046,"Hirschberg, Stadt"
16075062,"Bad Lobenstein, Stadt"
16075079,Paska
16075098,"Schleiz, Stadt"
16075125,Wilhelmsdorf
16075127,"Ziegenrück, Stadt"
16075134,Remptendorf
16075135,"Saalburg-Ebersdorf, Stadt"
16075136,Rosenthal am Rennsteig
16076039,Langenwetzendorf
16076093,Mohlsdorf-Teichwolframsdorf
16077001,"Altenburg, Stadt"
16077005,Fockendorf
16077007,Gerstenberg
16077036,Nobitz
16077052,Windischleuba
NA,NA
